P49458	concentration:3435.74	copy_number:4138100
P17987	concentration:2877.09	copy_number:3465247
Q9UP52	concentration:1.48	copy_number:1780
Q8TE04	concentration:0.41	copy_number:490
Q86YC2	concentration:3.26	copy_number:3927
Q29RF7	concentration:154.04	copy_number:185526
P49585	concentration:139.44	copy_number:167948
Q9H2J4	concentration:215.56	copy_number:259630
Q9BWF3	concentration:332.22	copy_number:400135
P62491	concentration:281.80	copy_number:339404
P62834	concentration:22.46	copy_number:27047
P49792	concentration:115.85	copy_number:139533
P29762	concentration:1222.39	copy_number:1472284
Q96EN9	concentration:0.54	copy_number:648
O60216	concentration:239.26	copy_number:288177
A7KAX9	concentration:0.08	copy_number:92
P82921	concentration:601.22	copy_number:724128
P82673	concentration:659.78	copy_number:794653
P60903	concentration:275.41	copy_number:331717
Q92504	concentration:3.61	copy_number:4347
Q99584	concentration:327.74	copy_number:394734
P55011	concentration:20.72	copy_number:24958
Q9Y666	concentration:33.74	copy_number:40640
P78381	concentration:1.49	copy_number:1789
Q9Y3D5	concentration:135.88	copy_number:163662
P62306	concentration:1769.95	copy_number:2131777
Q9BVN2	concentration:6.44	copy_number:7757
Q96C34	concentration:1.30	copy_number:1562
Q8N5C8	concentration:1.44	copy_number:1735
Q9NSI8	concentration:3.38	copy_number:4067
P60468	concentration:456.26	copy_number:549535
Q01826	concentration:0.11	copy_number:130
Q0VDG4	concentration:7.32	copy_number:8812
O15126	concentration:36.17	copy_number:43560
Q9BWG6	concentration:12.91	copy_number:15554
Q13884	concentration:2.22	copy_number:2677
Q5SQN1	concentration:8.82	copy_number:10626
Q8WVK2	concentration:249.28	copy_number:300240
P30825	concentration:11.61	copy_number:13978
Q2TAY7	concentration:72.86	copy_number:87757
O94972	concentration:0.47	copy_number:561
Q9H9C1	concentration:67.96	copy_number:81852
Q14159	concentration:1.69	copy_number:2036
Q9P270	concentration:1.24	copy_number:1497
Q93045	concentration:677.82	copy_number:816390
O94768	concentration:0.62	copy_number:747
Q9UH99	concentration:55.57	copy_number:66935
O75683	concentration:43.54	copy_number:52442
P0CW00	concentration:115.85	copy_number:139533
O75044	concentration:56.55	copy_number:68107
Q9UH65	concentration:143.90	copy_number:173317
Q8WUJ0	concentration:9.63	copy_number:11605
Q6SJ96	concentration:6.36	copy_number:7655
Q9NQC1	concentration:32.64	copy_number:39314
Q96HW7	concentration:39.19	copy_number:47204
Q8NHM5	concentration:6.74	copy_number:8118
Q13601	concentration:264.65	copy_number:318758
P14927	concentration:3051.64	copy_number:3675479
P01111	concentration:53.07	copy_number:63920
Q5TC82	concentration:8.22	copy_number:9901
P06400	concentration:9.41	copy_number:11328
Q96QF0	concentration:7.56	copy_number:9108
P63244	concentration:3760.40	copy_number:4529135
P62829	concentration:780.78	copy_number:940396
P61927	concentration:28.23	copy_number:34002
Q9BV68	concentration:98.71	copy_number:118894
O00584	concentration:69.59	copy_number:83814
P60866	concentration:730.26	copy_number:879549
Q9UPW6	concentration:0.11	copy_number:130
O60613	concentration:223.32	copy_number:268973
O00767	concentration:641.00	copy_number:772044
O95863	concentration:0.50	copy_number:604
Q9Y5W8	concentration:2.22	copy_number:2674
Q13342	concentration:3.16	copy_number:3810
Q15797	concentration:3.22	copy_number:3878
Q5STR5	concentration:31.78	copy_number:38278
Q7Z7L1	concentration:31.34	copy_number:37744
Q8N6T7	concentration:4.18	copy_number:5033
Q56A73	concentration:108.76	copy_number:130999
Q149N8	concentration:5.36	copy_number:6455
Q9NX95	concentration:0.64	copy_number:767
Q08170	concentration:105.34	copy_number:126869
Q66K14	concentration:29.62	copy_number:35680
Q15813	concentration:195.28	copy_number:235200
Q5ST30	concentration:1.47	copy_number:1765
Q9NWX6	concentration:43.39	copy_number:52263
Q8IZ21	concentration:29.29	copy_number:35272
Q9NXJ5	concentration:11.77	copy_number:14177
Q9UGN5	concentration:20.62	copy_number:24832
O43189	concentration:2.09	copy_number:2522
Q9Y3A3	concentration:152.97	copy_number:184242
P17858	concentration:158.84	copy_number:191308
O43157	concentration:1.09	copy_number:1307
Q9NYY3	concentration:4.55	copy_number:5475
P49593	concentration:143.59	copy_number:172948
O00625	concentration:253.13	copy_number:304878
Q9BZ71	concentration:1.75	copy_number:2107
P51817	concentration:53.21	copy_number:64084
Q86Y79	concentration:11.14	copy_number:13417
Q2TAL8	concentration:51.58	copy_number:62122
Q8TC12	concentration:80.10	copy_number:96480
