Sample description: prot1
Sample: prot1 c= 4.5 Code: Apr1
Subtracted from raw files: "C:\Data\rishi-4and9mgpml\prot4p5mgpmlrep1_0001.img" "C:\Data\rishi-4and9mgpml\bufferrep1_0002.img"
Processed by SAXSLab Sat Apr 02 09:53:54 2022
BeamCenter_X: 754.149 BeamCenter_Y: 199.623
Exposure time (sec): 3600
Pin diode (mean): 6.6504e-08
==============================================
0.285801 0.298621 0.0139387
0.286613 0.272283 0.0139332
0.287424 0.301788 0.0140452
0.288236 0.284343 0.0134864
0.289047 0.287262 0.0137254
0.289859 0.291752 0.0138343
0.29067 0.290707 0.0135966
0.291482 0.282031 0.0141037
0.292293 0.290945 0.013653
0.293105 0.293058 0.0135112
0.293916 0.246117 0.0137077
0.294728 0.283939 0.0138115
0.295539 0.267858 0.0134021
0.296351 0.280856 0.0138851
0.297162 0.250026 0.0138559
0.297974 0.279126 0.0137483
0.298785 0.280542 0.0144919
0.299597 0.284245 0.0136544
0.300408 0.282877 0.0133604
0.30122 0.261973 0.0137797
0.302031 0.250606 0.0129382
0.302843 0.264078 0.0134066
0.303654 0.272178 0.0134641
0.304466 0.245082 0.013525
0.305277 0.260773 0.0137434
0.306088 0.264445 0.0134844
0.3069 0.274778 0.0131912
0.307711 0.244152 0.0137716
0.308523 0.264699 0.0138087
0.309334 0.260831 0.0132645
0.310146 0.276795 0.0134989
0.310957 0.243956 0.0135275
0.311769 0.255146 0.0135351
0.31258 0.271444 0.0135241
0.313392 0.251029 0.0137627
0.314203 0.252435 0.0135748
0.315015 0.28023 0.0136228
0.315826 0.248033 0.0132968
0.316638 0.262942 0.0137004
0.317449 0.251565 0.0133365
0.318261 0.254646 0.0142231
0.319072 0.24312 0.0139027
0.319884 0.257234 0.0131945
0.320695 0.266003 0.0137191
0.321507 0.219859 0.0135019
0.322318 0.234633 0.0134465
0.32313 0.235657 0.013455
0.323941 0.258619 0.0132718
0.324753 0.224722 0.013605
0.325564 0.231927 0.0139975
0.326376 0.257483 0.013587
0.327187 0.206399 0.013879
0.327998 0.240474 0.013625
0.32881 0.220445 0.0137324
0.329621 0.224783 0.0136205
0.330433 0.2616 0.0135762
0.331244 0.199231 0.0137801
0.332056 0.240085 0.013558
0.332867 0.20394 0.013618
0.333679 0.226125 0.0136617
0.33449 0.2354 0.0132431
0.335302 0.220138 0.0135747
0.336113 0.230804 0.0138384
0.336925 0.231258 0.013517
0.337736 0.242515 0.0138073
0.338548 0.204615 0.0136659
0.339359 0.233241 0.0137173
0.340171 0.244257 0.014044
0.340982 0.215551 0.0137542
0.341794 0.182449 0.0134103
0.342605 0.207549 0.0135886
0.343417 0.20301 0.0137989
0.344228 0.208418 0.0135893
0.34504 0.235755 0.0134958
0.345851 0.217416 0.0135812
0.346663 0.225372 0.0137527
0.347474 0.206954 0.0137979
0.348286 0.224953 0.0141447
0.349097 0.239059 0.01367
0.349908 0.21961 0.0137978
0.35072 0.208388 0.0140517
0.351531 0.214214 0.013695
0.352343 0.210685 0.0139768
0.353154 0.227762 0.0134328
0.353966 0.206745 0.0141846
0.354777 0.212078 0.013414
0.355589 0.212528 0.0138124
0.3564 0.21088 0.0139665
0.357212 0.215993 0.0138171
0.358023 0.208471 0.0137213
0.358835 0.210965 0.0138872
0.359646 0.204565 0.0136249
0.360458 0.199297 0.0138756
0.361269 0.196032 0.0137049
0.362081 0.205083 0.0134771
0.362892 0.201027 0.0138565
0.363704 0.195806 0.0136032
0.364515 0.200217 0.0135952
0.365327 0.204747 0.0135425
0.366138 0.195253 0.0136659
0.36695 0.200974 0.0134926
0.367761 0.207642 0.013661
0.368573 0.209674 0.0137965
0.369384 0.20395 0.0133263
0.370196 0.206607 0.013824
0.371007 0.200744 0.0138533
0.371818 0.229126 0.013884
0.37263 0.183498 0.0135068
0.373441 0.203659 0.0133439
0.374253 0.198757 0.0133436
0.375064 0.179684 0.0134646
0.375876 0.210386 0.0138696
0.376687 0.223675 0.0139881
0.377499 0.212383 0.013757
0.37831 0.174076 0.0135596
0.379122 0.182861 0.0136976
0.379933 0.210632 0.0132997
0.380745 0.205325 0.0127489
0.381556 0.169769 0.013133
0.382368 0.179758 0.0132304
0.383179 0.189173 0.0133088
0.383991 0.202964 0.0135506
