all,non_tail,N,C,N_w_pdb,C_w_pdb
87.0,49.0,113.0,25.0,,
55.0,29.0,27.0,29.0,,
112.0,35.0,91.0,35.0,,
26.0,138.0,23.0,41.0,,
29.0,99.0,40.0,50.0,,
26.0,96.0,52.0,113.0,,
22.0,1128.0,78.0,31.0,,
32.0,55.0,58.0,106.0,,
218.0,97.0,172.0,25.0,,
81.0,22.0,84.0,134.0,,
24.0,45.0,109.0,94.0,,
35.0,148.0,76.0,44.0,,
21.0,77.0,29.0,66.0,,
129.0,56.0,20.0,39.0,,
27.0,33.0,36.0,64.0,,
101.0,69.0,63.0,25.0,,
70.0,228.0,33.0,20.0,,
23.0,32.0,31.0,38.0,,
185.0,117.0,40.0,28.0,,
52.0,45.0,21.0,61.0,,
28.0,40.0,22.0,37.0,,
25.0,75.0,74.0,72.0,,
20.0,60.0,40.0,30.0,,
20.0,22.0,40.0,229.0,,
175.0,182.0,91.0,24.0,,
39.0,43.0,61.0,57.0,,
71.0,121.0,72.0,57.0,,
76.0,20.0,70.0,52.0,,
20.0,42.0,40.0,25.0,,
61.0,44.0,30.0,41.0,,
37.0,66.0,208.0,31.0,,
52.0,65.0,46.0,20.0,,
20.0,112.0,73.0,57.0,,
93.0,75.0,358.0,106.0,,
117.0,128.0,29.0,23.0,,
43.0,20.0,27.0,480.0,,
38.0,56.0,108.0,29.0,,
58.0,52.0,84.0,73.0,,
50.0,22.0,21.0,152.0,,
21.0,23.0,107.0,37.0,,
35.0,67.0,67.0,57.0,,
23.0,29.0,59.0,76.0,,
51.0,31.0,49.0,26.0,,
33.0,23.0,59.0,20.0,,
24.0,24.0,51.0,20.0,,
26.0,27.0,32.0,22.0,,
178.0,75.0,33.0,20.0,,
57.0,21.0,68.0,134.0,,
60.0,28.0,69.0,26.0,,
21.0,21.0,21.0,193.0,,
194.0,23.0,29.0,66.0,,
277.0,28.0,33.0,151.0,,
370.0,21.0,78.0,57.0,,
78.0,27.0,28.0,360.0,,
63.0,28.0,48.0,25.0,,
20.0,23.0,27.0,36.0,,
24.0,128.0,24.0,23.0,,
49.0,24.0,81.0,44.0,,
23.0,69.0,203.0,202.0,,
49.0,20.0,110.0,50.0,,
20.0,79.0,20.0,62.0,,
151.0,85.0,32.0,62.0,,
57.0,70.0,41.0,57.0,,
29.0,69.0,34.0,50.0,,
37.0,23.0,99.0,45.0,,
68.0,26.0,69.0,21.0,,
