Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
 1.258639e-001  1.324648e-003  8.049546e-005
 1.263198e-001  1.262731e-003  8.019968e-005
 1.267756e-001  1.121708e-003  7.984844e-005
 1.272315e-001  1.304252e-003  8.015454e-005
 1.276874e-001  9.939355e-004  7.925238e-005
 1.281433e-001  1.180635e-003  8.169197e-005
 1.285992e-001  9.741943e-004  8.248255e-005
 1.290550e-001  1.154795e-003  8.273635e-005
 1.295109e-001  1.116947e-003  8.336201e-005
 1.299668e-001  1.051966e-003  8.375963e-005
 1.304226e-001  1.115481e-003  8.378171e-005
 1.308785e-001  9.038801e-004  8.472560e-005
 1.313344e-001  9.708890e-004  8.419087e-005
 1.317902e-001  9.707722e-004  8.393825e-005
 1.322461e-001  1.065568e-003  8.400512e-005
 1.327019e-001  1.149762e-003  8.434638e-005
 1.331578e-001  9.046339e-004  8.435962e-005
 1.336136e-001  1.026266e-003  8.466997e-005
 1.340695e-001  8.474942e-004  8.380495e-005
 1.345254e-001  9.506353e-004  8.440664e-005
 1.349812e-001  9.719871e-004  8.400666e-005
 1.354371e-001  1.078930e-003  8.427830e-005
 1.358929e-001  9.623246e-004  8.436831e-005
 1.363487e-001  9.465200e-004  8.409450e-005
 1.368046e-001  9.705444e-004  8.404035e-005
 1.372604e-001  8.614672e-004  8.394043e-005
 1.377163e-001  9.118757e-004  8.362106e-005
 1.381721e-001  1.037110e-003  8.394731e-005
 1.386279e-001  9.444700e-004  8.384102e-005
 1.390838e-001  1.019776e-003  8.408323e-005
 1.395396e-001  8.690016e-004  8.454646e-005
 1.399954e-001  9.681267e-004  8.315574e-005
 1.404513e-001  8.894454e-004  8.412563e-005
 1.409071e-001  8.888178e-004  8.313869e-005
 1.413629e-001  8.389140e-004  8.373429e-005
 1.418187e-001  9.684532e-004  8.274480e-005
 1.422746e-001  9.540994e-004  8.388035e-005
 1.427304e-001  8.461622e-004  8.350363e-005
 1.431862e-001  9.621169e-004  8.244038e-005
 1.436420e-001  7.257676e-004  8.321836e-005
 1.440978e-001  7.765000e-004  8.259225e-005
 1.445536e-001  7.984887e-004  8.339245e-005
 1.450095e-001  8.312888e-004  8.371498e-005
 1.454653e-001  8.796037e-004  8.184958e-005
 1.459211e-001  9.518124e-004  8.309542e-005
 1.463769e-001  8.039849e-004  8.214755e-005
 1.468327e-001  8.386568e-004  8.334853e-005
 1.472885e-001  8.151264e-004  8.346550e-005
 1.477443e-001  8.341886e-004  8.285879e-005
 1.482001e-001  6.809163e-004  8.328125e-005
 1.486559e-001  8.079116e-004  8.214853e-005
 1.491117e-001  1.106786e-003  8.327215e-005
 1.495675e-001  8.530136e-004  8.228605e-005
 1.500233e-001  8.131127e-004  8.252804e-005
 1.504790e-001  7.955762e-004  8.355191e-005
 1.509348e-001  9.081768e-004  8.237080e-005
 1.513906e-001  7.662835e-004  8.201685e-005
 1.518464e-001  9.815706e-004  8.230750e-005
 1.523022e-001  8.277325e-004  8.240167e-005
 1.527580e-001  8.410345e-004  8.294008e-005
 1.532137e-001  8.051926e-004  8.170341e-005
 1.536695e-001  7.825934e-004  8.260517e-005
 1.541253e-001  8.984323e-004  8.159868e-005
 1.545811e-001  8.299063e-004  8.208308e-005
 1.550368e-001  7.989501e-004  8.210063e-005
 1.554926e-001  6.649131e-004  8.170053e-005
 1.559484e-001  7.106722e-004  8.260747e-005
 1.564041e-001  8.604973e-004  8.151298e-005
 1.568599e-001  7.704475e-004  8.179845e-005
 1.573156e-001  7.198048e-004  8.099907e-005
 1.577714e-001  7.094731e-004  8.152784e-005
 1.582272e-001  6.704083e-004  8.143031e-005
 1.586829e-001  7.024389e-004  8.096562e-005
 1.591387e-001  6.297136e-004  8.126124e-005
 1.595944e-001  6.474639e-004  7.975322e-005
 1.600502e-001  8.018806e-004  8.064927e-005
 1.605059e-001  7.104407e-004  7.990137e-005
 1.609617e-001  7.580512e-004  8.032765e-005
 1.614174e-001  8.430062e-004  8.070319e-005
 1.618731e-001  6.664534e-004  7.965023e-005
 1.623289e-001  8.693672e-004  8.021757e-005
 1.627846e-001  7.313913e-004  7.962145e-005
 1.632403e-001  7.645363e-004  7.975538e-005
 1.636961e-001  7.172677e-004  8.023361e-005
 1.641518e-001  7.256915e-004  7.931955e-005
 1.646075e-001  6.049558e-004  8.005980e-005
 1.650633e-001  6.654899e-004  7.885676e-005
 1.655190e-001  7.493234e-004  7.969528e-005
 1.659747e-001  6.493681e-004  7.934312e-005
 1.664304e-001  6.877184e-004  7.925799e-005
 1.668861e-001  7.261988e-004  7.994498e-005
 1.673418e-001  7.246613e-004  7.860775e-005
 1.677976e-001  6.128798e-004  7.970378e-005
 1.682533e-001  6.623294e-004  7.852940e-005
 1.687090e-001  7.866152e-004  7.907110e-005
