Sample description: Archit_2
Sample: Archit_2  c= 3.27 mg/ml  Code: Archit_2_3p27_archit
Parent(s): analysis/processed/subtracted/Archit_2_3p27_archit_0353_sub.dat
 7.650750e-001  7.881177e+002  2.176177e+001
 7.678250e-001  8.007190e+002  2.175936e+001
 7.705750e-001  7.559223e+002  2.178432e+001
 7.733240e-001  7.373284e+002  2.154035e+001
 7.760740e-001  7.444945e+002  2.166404e+001
 7.788240e-001  7.517979e+002  2.124208e+001
 7.815740e-001  7.480572e+002  2.151420e+001
 7.843240e-001  7.555171e+002  2.131722e+001
 7.870730e-001  7.162239e+002  2.143043e+001
 7.898230e-001  7.661676e+002  2.148303e+001
 7.925730e-001  7.101171e+002  2.098583e+001
 7.953230e-001  7.458768e+002  2.122795e+001
 7.980720e-001  7.170095e+002  2.104734e+001
 8.008220e-001  7.174125e+002  2.120614e+001
 8.035720e-001  6.838774e+002  2.094431e+001
 8.063220e-001  7.422266e+002  2.104174e+001
 8.090710e-001  7.023465e+002  2.105285e+001
 8.118210e-001  6.951352e+002  2.079697e+001
 8.145710e-001  7.169511e+002  2.092485e+001
 8.173210e-001  6.606076e+002  2.064037e+001
 8.200700e-001  7.073651e+002  2.067063e+001
 8.228200e-001  6.939101e+002  2.082931e+001
 8.255700e-001  6.768208e+002  2.053377e+001
 8.283200e-001  6.863878e+002  2.063288e+001
 8.310690e-001  6.206560e+002  2.039923e+001
 8.338190e-001  7.061339e+002  2.077680e+001
 8.365690e-001  6.339526e+002  2.038900e+001
 8.393190e-001  7.017685e+002  2.030750e+001
 8.420690e-001  6.930878e+002  2.042632e+001
 8.448180e-001  6.343480e+002  2.026560e+001
 8.475680e-001  6.774893e+002  2.033161e+001
 8.503180e-001  6.460642e+002  2.019849e+001
 8.530680e-001  6.542269e+002  2.015343e+001
 8.558170e-001  6.623838e+002  2.017713e+001
 8.585670e-001  6.534667e+002  2.016077e+001
 8.613170e-001  6.043260e+002  2.002357e+001
 8.640670e-001  5.937991e+002  1.988621e+001
 8.668160e-001  6.196382e+002  2.003924e+001
 8.695660e-001  6.455966e+002  2.003423e+001
 8.723160e-001  6.542223e+002  1.992994e+001
 8.750660e-001  6.072850e+002  1.991917e+001
 8.778150e-001  6.133654e+002  1.961088e+001
 8.805650e-001  6.166606e+002  1.987463e+001
 8.833150e-001  6.235150e+002  1.976905e+001
 8.860650e-001  6.192083e+002  1.961182e+001
 8.888140e-001  5.680183e+002  1.968366e+001
 8.915640e-001  6.141847e+002  1.952247e+001
 8.943140e-001  5.699465e+002  1.969022e+001
 8.970640e-001  5.926242e+002  1.944476e+001
 8.998140e-001  6.002401e+002  1.944752e+001
 9.025630e-001  5.619590e+002  1.949172e+001
 9.053130e-001  5.920168e+002  1.926924e+001
 9.080630e-001  5.757315e+002  1.954891e+001
 9.108130e-001  5.731902e+002  1.907329e+001
 9.135620e-001  6.048327e+002  1.934994e+001
 9.163120e-001  5.362896e+002  1.931867e+001
 9.190620e-001  5.524220e+002  1.909313e+001
 9.218120e-001  5.937621e+002  1.935640e+001
 9.245610e-001  5.641584e+002  1.900589e+001
 9.273110e-001  5.622352e+002  1.921355e+001
 9.300610e-001  5.614226e+002  1.910760e+001
 9.328110e-001  5.704174e+002  1.896969e+001
 9.355600e-001  5.426709e+002  1.912231e+001
 9.383100e-001  5.233459e+002  1.922109e+001
 9.410600e-001  5.219544e+002  1.965097e+001
 9.438100e-001  5.393306e+002  1.945578e+001
 9.465590e-001  5.410657e+002  1.942414e+001
 9.493090e-001  5.289370e+002  1.968099e+001
 9.520590e-001  5.469229e+002  1.965471e+001
 9.548090e-001  5.129379e+002  1.965358e+001
 9.575580e-001  5.240018e+002  1.951447e+001
 9.603080e-001  5.310749e+002  1.972840e+001
 9.630580e-001  5.167914e+002  1.975102e+001
 9.658080e-001  5.332284e+002  1.955486e+001
 9.685580e-001  5.363398e+002  1.938169e+001
 9.713070e-001  5.078352e+002  1.903110e+001
 9.740570e-001  5.102388e+002  1.914551e+001
 9.768070e-001  5.311731e+002  1.898882e+001
 9.795570e-001  5.249361e+002  1.879174e+001
 9.823060e-001  4.910517e+002  1.887285e+001
 9.850560e-001  5.353774e+002  1.879881e+001
 9.878060e-001  5.018434e+002  1.899681e+001
 9.905560e-001  4.689725e+002  1.845972e+001
 9.933050e-001  4.723248e+002  1.869846e+001
 9.960550e-001  4.801835e+002  1.863776e+001
 9.988050e-001  4.592193e+002  1.853275e+001
