energies,CoA_conc,valency,system,unbound,bound1AD,bound2_sameAD,bound2_sameAb,bound2_diffAb,other,rep,AM_int,AN_int,BM_int,BN_int
AM-110_AN-160_BM-110_BN-210,500,Nb,doubleTAD_doubleCoA,0.9013725490196077,0.07754248366013072,0.021019607843137254,0.0,6.535947712418301e-05,0.0,2.0,-110.0,-160.0,-110.0,-210.0
AM-110_AN-160_BM-110_BN-210,1000,Nb,doubleTAD_doubleCoA,0.9331111111111111,0.052960784313725494,0.013908496732026142,0.0,1.9607843137254903e-05,0.0,2.0,-110.0,-160.0,-110.0,-210.0
AM-110_AN-160_BM-110_BN-210,2000,Nb,doubleTAD_doubleCoA,0.9595424836601308,0.0323202614379085,0.008120915032679739,0.0,1.6339869281045753e-05,0.0,2.0,-110.0,-160.0,-110.0,-210.0
AM-110_AN-160_BM-1_BN-1,20,Nb,doubleTAD_doubleCoA,0.9797385620915033,0.01993464052287582,0.000326797385620915,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-1.0
AM-110_AN-160_BM-1_BN-1,160,Nb,doubleTAD_doubleCoA,0.9801062091503269,0.019689542483660134,0.0002042483660130719,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-1.0
AM-110_AN-160_BM-1_BN-1,500,Nb,doubleTAD_doubleCoA,0.981045751633987,0.018705882352941176,0.00024836601307189543,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-1.0
AM-110_AN-160_BM-1_BN-1,1000,Nb,doubleTAD_doubleCoA,0.9817320261437907,0.018052287581699345,0.00021568627450980395,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-1.0
AM-110_AN-160_BM-1_BN-1,2000,Nb,doubleTAD_doubleCoA,0.9846372549019607,0.01519607843137255,0.00016666666666666666,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-1.0
AM-110_AN-160_BM-1_BN-110,20,Nb,doubleTAD_doubleCoA,0.9764705882352942,0.023202614379084968,0.000326797385620915,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-110.0
AM-110_AN-160_BM-1_BN-110,160,Nb,doubleTAD_doubleCoA,0.9767565359477123,0.02226307189542483,0.000980392156862745,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-110.0
AM-110_AN-160_BM-1_BN-110,500,Nb,doubleTAD_doubleCoA,0.9778039215686275,0.02142483660130719,0.000758169934640523,0.0,1.3071895424836602e-05,0.0,2.0,-110.0,-160.0,-1.0,-110.0
AM-110_AN-160_BM-1_BN-110,1000,Nb,doubleTAD_doubleCoA,0.9798104575163397,0.019274509803921567,0.0009150326797385621,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-110.0
AM-110_AN-160_BM-1_BN-110,2000,Nb,doubleTAD_doubleCoA,0.9826176470588234,0.016607843137254902,0.0007745098039215687,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-110.0
AM-110_AN-160_BM-1_BN-160,20,Nb,doubleTAD_doubleCoA,0.9575163398692812,0.03627450980392157,0.0058823529411764705,0.0,0.000326797385620915,0.0,2.0,-110.0,-160.0,-1.0,-160.0
AM-110_AN-160_BM-1_BN-160,160,Nb,doubleTAD_doubleCoA,0.9562908496732027,0.03839869281045751,0.005310457516339869,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-160.0
AM-110_AN-160_BM-1_BN-160,500,Nb,doubleTAD_doubleCoA,0.9625228758169935,0.03260130718954249,0.004836601307189543,0.0,3.9215686274509805e-05,0.0,2.0,-110.0,-160.0,-1.0,-160.0
AM-110_AN-160_BM-1_BN-160,1000,Nb,doubleTAD_doubleCoA,0.9687450980392156,0.027411764705882354,0.003823529411764706,0.0,1.9607843137254903e-05,0.0,2.0,-110.0,-160.0,-1.0,-160.0
AM-110_AN-160_BM-1_BN-160,2000,Nb,doubleTAD_doubleCoA,0.975888888888889,0.021284313725490195,0.0028039215686274516,0.0,2.2875816993464052e-05,0.0,2.0,-110.0,-160.0,-1.0,-160.0
AM-110_AN-160_BM-1_BN-210,20,Nb,doubleTAD_doubleCoA,0.8225490196078432,0.13954248366013075,0.03725490196078431,0.0,0.00065359477124183,0.0,2.0,-110.0,-160.0,-1.0,-210.0
AM-110_AN-160_BM-1_BN-210,160,Nb,doubleTAD_doubleCoA,0.858251633986928,0.11254084967320262,0.02904411764705882,0.0,0.0001633986928104575,0.0,2.0,-110.0,-160.0,-1.0,-210.0
AM-110_AN-160_BM-1_BN-210,500,Nb,doubleTAD_doubleCoA,0.9045098039215688,0.0762483660130719,0.019176470588235295,0.0,6.535947712418301e-05,0.0,2.0,-110.0,-160.0,-1.0,-210.0
AM-110_AN-160_BM-1_BN-210,1000,Nb,doubleTAD_doubleCoA,0.9346993464052288,0.05232679738562091,0.012915032679738562,0.0,5.882352941176471e-05,0.0,2.0,-110.0,-160.0,-1.0,-210.0
AM-110_AN-160_BM-1_BN-210,2000,Nb,doubleTAD_doubleCoA,0.9605424836601307,0.032098039215686276,0.0073398692810457515,0.0,1.96078431372549e-05,0.0,2.0,-110.0,-160.0,-1.0,-210.0
AM-110_AN-1_BM-110_BN-1,20,Nb,doubleTAD_doubleCoA,0.9937908496732026,0.006209150326797385,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-1.0
AM-110_AN-1_BM-110_BN-1,160,Nb,doubleTAD_doubleCoA,0.9948937908496731,0.005024509803921568,8.169934640522875e-05,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-1.0
AM-110_AN-1_BM-110_BN-1,500,Nb,doubleTAD_doubleCoA,0.9960915032679738,0.003882352941176471,2.6143790849673204e-05,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-1.0
AM-110_AN-1_BM-110_BN-1,1000,Nb,doubleTAD_doubleCoA,0.995549019607843,0.004431372549019608,1.9607843137254903e-05,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-1.0
AM-110_AN-1_BM-110_BN-1,2000,Nb,doubleTAD_doubleCoA,0.9958235294117648,0.004137254901960785,3.9215686274509805e-05,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-1.0
AM-110_AN-1_BM-110_BN-110,20,Nb,doubleTAD_doubleCoA,0.9879084967320262,0.012091503267973857,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-110.0
AM-110_AN-1_BM-110_BN-110,160,Nb,doubleTAD_doubleCoA,0.9916666666666667,0.007679738562091503,0.00065359477124183,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-110.0
