P14737	copy_number:4.00E+02
P38705	copy_number:4.05E+02
P39719	copy_number:4.14E+02
P38207	copy_number:4.14E+02
P52871	copy_number:4.14E+02
P30775	copy_number:4.14E+02
P41695	copy_number:4.14E+02
P16451	copy_number:4.14E+02
P38816	copy_number:4.14E+02
P40465	copy_number:4.14E+02
P36117	copy_number:4.14E+02
Q02574	copy_number:4.14E+02
Q03210	copy_number:4.14E+02
Q08280	copy_number:4.14E+02
Q12241	copy_number:4.14E+02
Q12350	copy_number:4.14E+02
Q06820	copy_number:4.14E+02
P32571	copy_number:4.28E+02
P25646	copy_number:4.32E+02
Q12457	copy_number:4.32E+02
Q03833	copy_number:4.32E+02
Q03338	copy_number:4.32E+02
P40050	copy_number:4.32E+02
P21375	copy_number:4.32E+02
P35210	copy_number:4.32E+02
Q12440	copy_number:4.32E+02
Q03792	copy_number:4.32E+02
Q03660	copy_number:4.32E+02
P32829	copy_number:4.32E+02
P38717	copy_number:4.32E+02
P42843	copy_number:4.32E+02
Q08119	copy_number:4.32E+02
Q12375	copy_number:4.32E+02
P53388	copy_number:4.32E+02
Q07349	copy_number:4.50E+02
Q07555	copy_number:4.50E+02
P40971	copy_number:4.50E+02
P40009	copy_number:4.50E+02
P53170	copy_number:4.50E+02
P38769	copy_number:4.50E+02
P40537	copy_number:4.50E+02
P40563	copy_number:4.50E+02
P47057	copy_number:4.50E+02
P32343	copy_number:4.50E+02
P32796	copy_number:4.50E+02
Q04772	copy_number:4.50E+02
P53966	copy_number:4.50E+02
P53894	copy_number:4.50E+02
P07390	copy_number:4.50E+02
P14126	copy_number:4.50E+02
Q02516	copy_number:4.50E+02
Q02863	copy_number:4.50E+02
P32867	copy_number:4.50E+02
Q12048	copy_number:4.50E+02
P35201	copy_number:4.65E+02
P69850	copy_number:4.68E+02
P38348	copy_number:4.68E+02
Q12223	copy_number:4.68E+02
P35688	copy_number:4.68E+02
P38958	copy_number:4.68E+02
P10355	copy_number:4.68E+02
P40099	copy_number:4.68E+02
P38633	copy_number:4.68E+02
P53239	copy_number:4.68E+02
P33336	copy_number:4.68E+02
P50090	copy_number:4.68E+02
P38836	copy_number:4.68E+02
P33334	copy_number:4.68E+02
Q12367	copy_number:4.68E+02
P13099	copy_number:4.68E+02
Q06071	copy_number:4.68E+02
P39110	copy_number:4.68E+02
P53951	copy_number:4.68E+02
P53913	copy_number:4.68E+02
P30606	copy_number:4.68E+02
P20676	copy_number:4.68E+02
Q04712	copy_number:4.76E+02
P39965	copy_number:4.77E+02
P32909	copy_number:4.86E+02
P38310	copy_number:4.86E+02
Q12421	copy_number:4.86E+02
P43592	copy_number:4.86E+02
P25338	copy_number:4.86E+02
