# Sample description: red1
# Sample: red1  c= 6.0000 mg/ml  Code: red1_6_komal_buffer
# Parent(s): analysis/processed/averaged/red1_6_komal_buffer_0100_sample.dat analysis/processed/averaged/red1_6_komal_buffer_0100_buffer.dat
  7.653820e-01   9.381170e+03   1.396366e+02
  7.681959e-01   9.615650e+03   1.398767e+02
  7.710098e-01   9.012440e+03   1.384990e+02
  7.738226e-01   9.418200e+03   1.383255e+02
  7.766365e-01   9.143890e+03   1.388547e+02
  7.794503e-01   9.177050e+03   1.377836e+02
  7.822632e-01   9.148240e+03   1.366308e+02
  7.850770e-01   8.928620e+03   1.360420e+02
  7.878909e-01   9.028610e+03   1.406527e+02
  7.907038e-01   8.949680e+03   1.402168e+02
  7.935176e-01   8.781150e+03   1.402981e+02
  7.963315e-01   8.656130e+03   1.414230e+02
  7.991453e-01   8.479120e+03   1.425027e+02
  8.019582e-01   8.718690e+03   1.451646e+02
  8.047720e-01   8.632410e+03   1.425598e+02
  8.075859e-01   8.844170e+03   1.444492e+02
  8.103987e-01   8.670570e+03   1.438634e+02
  8.132126e-01   8.450170e+03   1.453522e+02
  8.160265e-01   8.530780e+03   1.460448e+02
  8.188403e-01   8.685390e+03   1.448347e+02
  8.216532e-01   8.391330e+03   1.461907e+02
  8.244670e-01   8.479850e+03   1.463429e+02
  8.272809e-01   8.622960e+03   1.472062e+02
  8.300938e-01   8.188730e+03   1.466266e+02
  8.329076e-01   8.347510e+03   1.471330e+02
  8.357215e-01   8.324310e+03   1.472823e+02
  8.385343e-01   8.034580e+03   1.467634e+02
  8.413482e-01   8.097360e+03   1.463971e+02
  8.441620e-01   8.116410e+03   1.474683e+02
  8.469759e-01   7.875120e+03   1.483327e+02
  8.497887e-01   8.056290e+03   1.485866e+02
  8.526026e-01   7.941090e+03   1.469662e+02
  8.554165e-01   7.675850e+03   1.446538e+02
  8.582293e-01   7.793440e+03   1.434281e+02
  8.610432e-01   7.882010e+03   1.421122e+02
  8.638570e-01   7.735280e+03   1.402332e+02
  8.666699e-01   7.777770e+03   1.394819e+02
  8.694837e-01   7.744250e+03   1.397963e+02
  8.722976e-01   7.739520e+03   1.385907e+02
  8.751115e-01   7.532970e+03   1.370599e+02
  8.779243e-01   8.026720e+03   1.374169e+02
  8.807382e-01   7.540130e+03   1.364422e+02
  8.835520e-01   7.325670e+03   1.362481e+02
  8.863649e-01   7.636450e+03   1.354944e+02
  8.891788e-01   7.642950e+03   1.344829e+02
  8.919926e-01   7.187210e+03   1.338343e+02
  8.948065e-01   7.426480e+03   1.343749e+02
  8.976193e-01   7.426030e+03   1.337703e+02
  9.004332e-01   7.322840e+03   1.325066e+02
  9.032470e-01   7.224190e+03   1.319437e+02
  9.060599e-01   7.041460e+03   1.315845e+02
  9.088738e-01   6.996690e+03   1.311962e+02
  9.116876e-01   7.071540e+03   1.302016e+02
  9.145005e-01   7.053850e+03   1.299854e+02
  9.173143e-01   7.149120e+03   1.299070e+02
  9.201282e-01   6.934290e+03   1.293748e+02
  9.229420e-01   7.041750e+03   1.285284e+02
  9.257549e-01   6.992640e+03   1.282922e+02
  9.285688e-01   6.838090e+03   1.308432e+02
  9.313826e-01   7.036380e+03   1.332272e+02
  9.341955e-01   7.138210e+03   1.327975e+02
  9.370093e-01   6.750910e+03   1.336270e+02
  9.398232e-01   7.055290e+03   1.347056e+02
  9.426360e-01   6.829610e+03   1.354436e+02
  9.454499e-01   6.834750e+03   1.353445e+02
  9.482638e-01   6.581640e+03   1.351164e+02
  9.510776e-01   6.677520e+03   1.363375e+02
  9.538905e-01   6.733400e+03   1.361374e+02
  9.567043e-01   6.627750e+03   1.351663e+02
  9.595182e-01   6.679780e+03   1.362947e+02
  9.623310e-01   6.743790e+03   1.364306e+02
  9.651449e-01   6.526800e+03   1.374625e+02
  9.679587e-01   6.612620e+03   1.354758e+02
  9.707726e-01   6.225150e+03   1.325207e+02
  9.735855e-01   6.507050e+03   1.315575e+02
  9.763993e-01   6.455250e+03   1.309212e+02
  9.792132e-01   6.615270e+03   1.315691e+02
  9.820260e-01   6.407220e+03   1.296687e+02
  9.848399e-01   6.214220e+03   1.285835e+02
  9.876538e-01   6.262430e+03   1.282717e+02
  9.904666e-01   6.118210e+03   1.284175e+02
  9.932805e-01   6.335950e+03   1.283486e+02
  9.960943e-01   6.471820e+03   1.276025e+02
  9.989082e-01   6.204030e+03   1.284529e+02
  1.001721e+00   6.241270e+03   1.267789e+02
  1.004535e+00   6.133400e+03   1.262175e+02
  1.007349e+00   5.969990e+03   1.255815e+02
  1.010162e+00   5.868590e+03   1.252186e+02
  1.012979e+00   6.198380e+03   1.250799e+02
  1.015787e+00   6.140780e+03   1.245317e+02
  1.018605e+00   5.870390e+03   1.237772e+02
  1.021413e+00   5.813630e+03   1.233017e+02
  1.024231e+00   5.861140e+03   1.226640e+02
  1.027039e+00   5.892180e+03   1.222558e+02
  1.029857e+00   5.874870e+03   1.221783e+02
  1.032675e+00   5.731270e+03   1.219440e+02
  1.035482e+00   5.956580e+03   1.220063e+02
  1.038300e+00   5.620610e+03   1.214983e+02
  1.041108e+00   5.608970e+03   1.213467e+02
  1.043926e+00   5.715740e+03   1.211705e+02
  1.046734e+00   5.870250e+03   1.210695e+02
  1.049552e+00   5.587530e+03   1.202510e+02
  1.052369e+00   5.534760e+03   1.204587e+02
  1.055177e+00   5.577350e+03   1.197208e+02
  1.057995e+00   5.800730e+03   1.200549e+02
  1.060803e+00   5.489670e+03   1.199533e+02
  1.063621e+00   5.619680e+03   1.197233e+02
  1.066429e+00   5.592810e+03   1.202534e+02
  1.069247e+00   5.455590e+03   1.184449e+02
  1.072064e+00   5.381500e+03   1.190360e+02
  1.074872e+00   5.372150e+03   1.187472e+02
  1.077690e+00   5.425270e+03   1.182011e+02
  1.080498e+00   5.419660e+03   1.192309e+02
  1.083316e+00   5.356160e+03   1.172966e+02
  1.086124e+00   5.350490e+03   1.185650e+02
  1.088942e+00   5.451870e+03   1.179386e+02
  1.091759e+00   5.252610e+03   1.171934e+02
  1.094567e+00   5.187250e+03   1.174889e+02
  1.097385e+00   5.184540e+03   1.169988e+02
  1.100193e+00   5.114400e+03   1.170035e+02
  1.103011e+00   5.047780e+03   1.162141e+02
  1.105819e+00   5.121280e+03   1.158427e+02
  1.108637e+00   5.284870e+03   1.174055e+02
  1.111455e+00   5.184710e+03   1.162060e+02
  1.114262e+00   4.958900e+03   1.159116e+02
  1.117080e+00   5.009370e+03   1.157431e+02
  1.119888e+00   5.176390e+03   1.158400e+02
  1.122706e+00   5.098210e+03   1.164355e+02
  1.125514e+00   5.166470e+03   1.146915e+02
  1.128332e+00   5.151730e+03   1.154160e+02
  1.131150e+00   5.006310e+03   1.152028e+02
  1.133957e+00   4.793400e+03   1.142365e+02
  1.136775e+00   5.028020e+03   1.150655e+02
  1.139583e+00   4.671270e+03   1.139197e+02
  1.142401e+00   4.904680e+03   1.145418e+02
  1.145209e+00   5.044770e+03   1.145045e+02
  1.148027e+00   4.714390e+03   1.136425e+02
  1.150845e+00   4.864020e+03   1.136842e+02
  1.153652e+00   4.793080e+03   1.135294e+02
  1.156470e+00   4.674520e+03   1.131171e+02
  1.159278e+00   4.968910e+03   1.136311e+02
