P0AEK7	copy_number:32.30565978
P32176	copy_number:652.3969316
P0AAJ5	copy_number:700.629582
P0AEL0	copy_number:324.2686541
P0A9R4	copy_number:42.63505732
P13036	copy_number:33.63375872
P15028	copy_number:38.47480471
P15030	copy_number:0.688890458
P15029	copy_number:0.274313836
P23484	copy_number:1.005524525
P0AEL3	copy_number:47.06331886
P33650	copy_number:4.736189426
P05825	copy_number:3.141574749
P0AEL6	copy_number:8.367078347
P23878	copy_number:4.15222794
P0AGD7	copy_number:337.561198
P19323	copy_number:7.007778582
P06971	copy_number:91.76592994
P07821	copy_number:14.03085053
P69380	copy_number:19.27266647
P0A6R3	copy_number:206.0498446
P0A9L3	copy_number:702.2892463
P45523	copy_number:782.0969943
P0AEM0	copy_number:1.867878879
P61949	copy_number:944.3290535
P0ABY4	copy_number:39.58761269
P0ABX2	copy_number:24.84343677
P75937	copy_number:49.26001278
P75938	copy_number:1.327622057
P0ABX5	copy_number:16.52794534
P0A6S0	copy_number:229.8280818
P0A6S3	copy_number:50.49071588
P33235	copy_number:13.20742032
P29744	copy_number:151.3505907
P0AEM4	copy_number:109.1012945
P43533	copy_number:11.46837125
P76298	copy_number:19.56729652
P0ABY7	copy_number:2.805261035
P0AEM6	copy_number:116.2199022
P04949	copy_number:3655.740468
P24216	copy_number:71.61706324
P25798	copy_number:41.4987692
P0ABZ1	copy_number:108.7771095
P52612	copy_number:21.56609713
P06974	copy_number:105.4867062
P15070	copy_number:95.65446333
P22586	copy_number:17.63397771
P0AC05	copy_number:29.93593985
P0AEM9	copy_number:254.2928093
P15286	copy_number:20.37160214
P39180	copy_number:28.75292885
P23882	copy_number:188.7329288
P0A9E5	copy_number:84.37873991
P0AC23	copy_number:38.90240965
P0ABQ4	copy_number:134.3836767
P0AC16	copy_number:205.1888695
P08192	copy_number:82.50124399
P24186	copy_number:306.0783291
P0A6T5	copy_number:685.3251936
P0AC13	copy_number:143.6209283
P0AC19	copy_number:400.070649
P28861	copy_number:63.91051212
P00363	copy_number:2105.713931
P0AC47	copy_number:1533.5063
P0A8Q0	copy_number:510.4123879
P0A8Q3	copy_number:132.230871
P0AEN1	copy_number:224.9676249
P25437	copy_number:177.7441024
P51025	copy_number:4.180418844
P0AAP3	copy_number:170.4198744
P0A805	copy_number:2243.980906
P04335	copy_number:162.9547662
P20966	copy_number:24.6860716
P69811	copy_number:98.05890724
P0AEW9	copy_number:86.27039023
P0ACP1	copy_number:152.8931491
P78055	copy_number:21.22387532
P32669	copy_number:18.26060506
P52067	copy_number:0.774888374
P0A998	copy_number:2847.058874
P0ABH0	copy_number:155.8407798
P0A9R7	copy_number:348.7129441
P0AAI3	copy_number:660.2928198
P46889	copy_number:2.105441288
P29131	copy_number:18.8779681
P26648	copy_number:84.05802722
P0AC30	copy_number:121.0237574
P10121	copy_number:200.2477296
P0A9A6	copy_number:1931.270353
P69922	copy_number:40.20823665
P11553	copy_number:3.69500395
P0A9S1	copy_number:375.1223519
P0ACK8	copy_number:9.253564293
P0AEN8	copy_number:590.1535301
P0AC33	copy_number:3073.200531
P14407	copy_number:1105.464739
P05042	copy_number:178.8971563
P0A9A9	copy_number:889.2425952
P0A6M8	copy_number:4899.048865
P37147	copy_number:12.71927742
P25526	copy_number:17.82160348
P22256	copy_number:3.813919117
P69908	copy_number:57.1104914
P69910	copy_number:1002.996592
P63235	copy_number:55.83317708
P09147	copy_number:280.1623837
P0AAB6	copy_number:240.8721104
P0A6T3	copy_number:128.8255183
P0A9C3	copy_number:974.7383834
P0AEP1	copy_number:9.280218566
P03024	copy_number:25.53970259
P25748	copy_number:11.36728195
P09148	copy_number:464.9385838
P0AEP3	copy_number:1309.546957
P0A9B2	copy_number:18219.79043
P33898	copy_number:0.983344856
P39829	copy_number:117.5072599
P23524	copy_number:160.7181044
P23522	copy_number:269.9573345
P0AA80	copy_number:0.444004849
P0ABQ2	copy_number:1864.267553
P36930	copy_number:37.80204072
P15877	copy_number:20.63557873
P0AEP7	copy_number:0.08070589
P05852	copy_number:97.89332022
P0A9F6	copy_number:32.677205
P0A6T9	copy_number:83.74255098
P33195	copy_number:518.9498763
P0A9I3	copy_number:68.54003403
P27248	copy_number:983.7496087
P00370	copy_number:230.6312938
P75913	copy_number:32.23668579
P37666	copy_number:364.784942
P37330	copy_number:999.502105
P0ACL5	copy_number:52.02570844
P0AEP9	copy_number:62.42106294
P52073	copy_number:128.2455197
P52074	copy_number:15.51616368
P0AEQ1	copy_number:692.5137306
P0A9S5	copy_number:1462.616891
P0A6U8	copy_number:413.5026783
P07762	copy_number:159.4055138
P0A6V1	copy_number:414.2777734
P0AC86	copy_number:111.8770415
P15067	copy_number:31.74579632
P0A6V8	copy_number:222.2441914
P31120	copy_number:572.2634386
P17169	copy_number:1946.499768
P0ACC7	copy_number:197.8213284
P0A9C5	copy_number:867.8767866
P0A9Z1	copy_number:426.0873555
P27249	copy_number:47.70632912
P30870	copy_number:25.82573036
P0AFB8	copy_number:54.55978798
P0AEQ3	copy_number:2409.52634
P0AFB5	copy_number:19.73025128
P0AEQ6	copy_number:188.3440844
P10346	copy_number:327.3437265
P00962	copy_number:436.595482
P0AC81	copy_number:1204.390252
P0AC84	copy_number:58.19298864
P0A9C0	copy_number:795.1168
P13033	copy_number:610.4078956
P0A996	copy_number:617.0793474
P13035	copy_number:403.1599671
P0AER0	copy_number:74.68458411
P09391	copy_number:11.82328346
P0A6F3	copy_number:1167.140401
P09394	copy_number:3777.895493
P0ACL0	copy_number:30.97460417
P08194	copy_number:423.6804607
P0A9C9	copy_number:177.8408002
P52101	copy_number:5.53900681
P0AFU4	copy_number:30.79932173
P0A6W0	copy_number:17.53136699
P0ABH7	copy_number:3091.755455
P09831	copy_number:5.672721481
P09832	copy_number:13.21870594
P37902	copy_number:279.8780218
P0AER3	copy_number:2.644400718
P0AER5	copy_number:0.883864025
P0AAG3	copy_number:5.207255961
P21345	copy_number:51.05331429
P0AER8	copy_number:5.787543963
P04805	copy_number:979.1898107
P27305	copy_number:12.61398115
P77364	copy_number:1.353349755
P77161	copy_number:0.880381639
P0A825	copy_number:2220.460863
P00960	copy_number:202.4243505
P00961	copy_number:594.1233591
P63224	copy_number:1642.179911
P60546	copy_number:60.1114351
P00350	copy_number:3166.94175
P0AC92	copy_number:270.8600262
P77695	copy_number:2396.528698
P46859	copy_number:9.599984393
P0AC94	copy_number:0.676695978
P0ACP5	copy_number:676.6522939
P39835	copy_number:27.08486817
P06715	copy_number:354.8772215
P32662	copy_number:75.71195505
P62707	copy_number:2236.494619
P0A7A2	copy_number:107.9097196
P37689	copy_number:356.0099258
P25552	copy_number:60.87185245
P0A6S7	copy_number:134.7388068
P0A9M5	copy_number:1640.970076
P68066	copy_number:7100.089156
P0A6W5	copy_number:973.3707674
P30128	copy_number:57.46432639
P0A6F5	copy_number:12651.35162
P0A6F9	copy_number:9686.285065
P09372	copy_number:2626.55731
P68688	copy_number:29.32278019
P0AC59	copy_number:342.7969666
P0AC62	copy_number:856.8657789
P0AC69	copy_number:1367.909375
P0A6W9	copy_number:167.1400713
P04425	copy_number:330.9175685
D9IX93;P75797	copy_number:4.997002014
P75798	copy_number:2.482343017
P0AEW6	copy_number:48.81100341
P0AES0	copy_number:102.6938176
P0A9D2	copy_number:718.3015461
P0ACA7	copy_number:240.22825
P04079	copy_number:693.5432175
P0ADG7	copy_number:679.7284552
P60560	copy_number:314.9462012
P76641	copy_number:61.90185256
P0AES2	copy_number:312.3502367
Q46916	copy_number:0.1762021
Q46915	copy_number:8.193674745
P17115	copy_number:143.7029513
P0AES4	copy_number:365.9890667
P0AES6	copy_number:371.6431705
P31658	copy_number:846.4297954
P75825	copy_number:293.9554633
P75824	copy_number:92.50006742
P69931	copy_number:103.8820622
P0AES9	copy_number:958.3670696
P0AET2	copy_number:1359.302932
P0AET5	copy_number:14.60782229
P0A8R9	copy_number:19.61050743
P0AET8	copy_number:1331.972148
P15038	copy_number:117.38796
P0A6X1	copy_number:5.015132826
P0ACB2	copy_number:295.7223821
P06983	copy_number:189.9561012
P09126	copy_number:24.47440427
P29680	copy_number:215.1496578
P36553	copy_number:15.55378017
P0ACB4	copy_number:127.8325317
P23871	copy_number:14.99427594
P23893	copy_number:743.0051637
P32131	copy_number:27.88612679
P09127	copy_number:511.0571273
P0ACB7	copy_number:83.39765414
P46118	copy_number:40.34494005
P0ABC3	copy_number:554.5500887
P25746	copy_number:246.521393
P0ABC7	copy_number:317.7361221
P25519	copy_number:188.428668
P0A6X3	copy_number:3387.955597
P67701	copy_number:40.89063925
P0ACE7	copy_number:580.2677686
P10371	copy_number:31.48452157
P06987	copy_number:147.401329
P06986	copy_number:75.55801358
P06988	copy_number:65.10237768
P60664	copy_number:214.4281376
P60757	copy_number:109.1795043
P60595	copy_number:59.26073195
P06989	copy_number:103.4533326
P0AEU0	copy_number:370.0319313
P60906	copy_number:459.0027231
P76341	copy_number:15.843282
P67910	copy_number:801.5192695
P76658	copy_number:577.9937867
P24232	copy_number:110.6589578
P0AEV1	copy_number:2.677540419
P0ACF8	copy_number:6059.299116
P45753	copy_number:1.396245232
P34749	copy_number:4.237527639
P28630	copy_number:15.42709615
P28631	copy_number:12.79844767
P28905	copy_number:13.10891586
P28632	copy_number:28.29645387
P0ABS8	copy_number:45.47355973
P0A9M2	copy_number:431.6159196
P43329	copy_number:19.42780586
P37024	copy_number:40.98643464
P0A6Z1	copy_number:142.6348456
P0A6L9	copy_number:191.6567605
P52644	copy_number:33.84890504
P0A6Y5	copy_number:233.2007972
P0ACG8	copy_number:119.3516273
P0A6H5	copy_number:1683.124214
P0A7B8	copy_number:852.6659138
P0AB20	copy_number:43.23455896
P31474	copy_number:0.521853229
P0A6Z3	copy_number:2897.994413
P23894	copy_number:361.3971154
P0ACV0	copy_number:43.45710998
P0ACF0	copy_number:18761.71071
P0ACF4	copy_number:14082.65952
P69739	copy_number:2.622391869
P0ACD8	copy_number:42.54636442
P19931	copy_number:0.480999252
P19932	copy_number:0.539145686
P0AAJ8	copy_number:359.7240425
P37180	copy_number:4.634526099
P0ACE0	copy_number:1027.819883
P37182	copy_number:245.4596398
P0AAN1	copy_number:54.51336619
P0AAM7	copy_number:15.92366992
P69741	copy_number:356.530811
P16431	copy_number:0.206478058
P0AEV9	copy_number:52.81891719
P0AAK4	copy_number:0.166115432
P0AAN3	copy_number:172.6248787
P24192	copy_number:16.16335661
P24193	copy_number:82.49347571
P30131	copy_number:3.233532888
Q46806	copy_number:71.71507612
P39377	copy_number:177.4243285
P10423	copy_number:15.09315918
P0C054	copy_number:1329.962172
P0C058	copy_number:2279.756083
P08200;Q1PI72	copy_number:5636.759254
P0A8S1	copy_number:135.6003399
P16528	copy_number:30.08503186
Q46822	copy_number:2.126732951
P0A6X7	copy_number:2534.826451
P0A6Y1	copy_number:1582.611923
P00956	copy_number:407.153917
P04968	copy_number:25.88418633
P08142	copy_number:19.24593072
P05793	copy_number:265.6389633
P05791	copy_number:51.51256432
P0AB80	copy_number:189.439851
P00892	copy_number:3.226787816
P00894	copy_number:79.12453992
P00893	copy_number:10.20637004
P0ADF8	copy_number:35.55194247
P05827	copy_number:5.536008525
P69222	copy_number:1063.649377
P0A705;P0A705-2;P0A705-3	copy_number:644.4294828
P0A707	copy_number:2002.447345
P71298	copy_number:0.260564384
P0AAN9	copy_number:135.8094348
P0AAC8	copy_number:207.5713174
P0AGK8	copy_number:28.7475277
P0A6B7	copy_number:591.5584513
P0C0L9	copy_number:4.565575577
P22939	copy_number:53.34437832
P0AD57	copy_number:27.18356588
Q46893	copy_number:29.50797728
P62615	copy_number:37.16669035
P62617	copy_number:232.507641
P62620	copy_number:368.0760785
P62623	copy_number:152.7242041
P0AD59	copy_number:948.1440113
P13029	copy_number:1679.376989
P0AB74	copy_number:2.882629054
P0C8K0	copy_number:4.783175053
P0AB77	copy_number:1170.36271
P31069	copy_number:15.09023674
P37647	copy_number:79.03724074
P76268	copy_number:690.8489911
P21865	copy_number:8.196287357
P21866	copy_number:20.48542774
P0A715	copy_number:2532.146417
P04951	copy_number:407.3006849
P0ABZ4	copy_number:231.6374003
P45395	copy_number:211.2092684
P37769	copy_number:5.498033269
Q46938	copy_number:3.177642416
P77338	copy_number:33.11889097
P03819	copy_number:2.251629623
P0A756	copy_number:11.48782543
P39380	copy_number:1.172114733
P63183	copy_number:13.2771273
B8LFD5;P03023	copy_number:9.34619844
B8LFD6;P00722	copy_number:26.18688763
P02943	copy_number:194.229032
P37005	copy_number:44.74587887
P76008	copy_number:73.88502636
P52643	copy_number:159.1927511
P60785	copy_number:327.4686918
P00803	copy_number:134.6920796
P30125	copy_number:7.274223118
P07813	copy_number:504.7993258
P0A7C2	copy_number:66.17439363
P60955	copy_number:3.558648165
P15042	copy_number:69.55865023
P37025	copy_number:3.894961385
P60716	copy_number:514.1720326
P60720	copy_number:9.957202334
P22731	copy_number:0.73295193
P0A9S7	copy_number:10.40366266
P0AD96	copy_number:1.163277811
P33232	copy_number:721.2790786
P23930	copy_number:24.83569535
P61316	copy_number:287.7109996
P61320	copy_number:262.9320367
P0ADC3	copy_number:43.85024396
P75957	copy_number:104.3508967
P75958	copy_number:8.936131267
P0A9M0	copy_number:814.285062
P0A9P0	copy_number:6070.699215
P32099	copy_number:72.37769252
P45464	copy_number:123.5313852
P0AB38	copy_number:260.7480473
P69776	copy_number:38022.53025
P0ADV1	copy_number:110.7474161
P0A9V1	copy_number:218.8312121
P0ADV9	copy_number:50.89398911
P31554	copy_number:166.4113447
P0ADC1	copy_number:438.6050902
P0AF98	copy_number:116.8817399
P0ADC6	copy_number:47.22473434
P0A722	copy_number:295.4025912
P10441	copy_number:18.46876563
P0A725	copy_number:142.1015067
P21645	copy_number:70.65766017
P27300	copy_number:3.132594642
P0ACJ0	copy_number:755.1195538
P75823	copy_number:291.3315549
P45578	copy_number:669.0980549
P00861	copy_number:21.4800366
P08660	copy_number:135.4770827
P25737	copy_number:13.22221738
P03030	copy_number:8.501535027
P0A8N3	copy_number:2097.608534
P0A8N5	copy_number:2049.274286
P75830	copy_number:8.360717181
P75831	copy_number:4.02139174
P26616	copy_number:457.8596497
P76558	copy_number:1114.083524
P23917	copy_number:60.02382648
P0AEX9	copy_number:304.8548535
P02916	copy_number:2.145198
P18811	copy_number:23.83159784
P68187	copy_number:9.722758634
P03841	copy_number:45.20413538
P00490	copy_number:168.8380749
P15977	copy_number:12.64452584
P06993	copy_number:12.76131724
P19642	copy_number:19.58705777
P23256	copy_number:29.32497146
P00946	copy_number:227.7493884
P24175	copy_number:615.4943593
