P17580	copy_number:9.43E+01
P09152	copy_number:1.01E+02
P17994	copy_number:1.17E+02
P76277	copy_number:1.04E+03
P76504	copy_number:7.04E+02
P75947	copy_number:4.53E+02
P37096	copy_number:2.11E+03
P37066	copy_number:5.46E+02
P52049	copy_number:3.48E+02
P02914	copy_number:2.12E+02
Q46933	copy_number:2.89E+02
P22333	copy_number:2.89E+02
P29217	copy_number:2.50E+02
P07020	copy_number:3.15E+02
P15298	copy_number:7.04E+02
P03807	copy_number:2.12E+02
P37631	copy_number:1.47E+02
P33597	copy_number:1.04E+03
P37347	copy_number:2.50E+02
P08367	copy_number:4.53E+02
P07002	copy_number:1.98E+02
P28304	copy_number:1.53E+02
P52061	copy_number:3.92E+02
P39356	copy_number:2.36E+02
P37308	copy_number:2.50E+02
Q46871	copy_number:3.92E+02
P15302	copy_number:2.89E+02
P00363	copy_number:1.27E+02
P75914	copy_number:3.15E+02
Q46948	copy_number:3.48E+02
P22563	copy_number:5.46E+02
P37345	copy_number:2.36E+02
P11056	copy_number:2.89E+02
P05791	copy_number:1.17E+02
P33601	copy_number:5.46E+02
P28633	copy_number:4.53E+02
P08373	copy_number:2.12E+02
P42550	copy_number:1.04E+03
P17113	copy_number:2.68E+02
P77202	copy_number:2.12E+02
P31218	copy_number:1.86E+02
P37175	copy_number:3.48E+02
P32157	copy_number:2.89E+02
P29679	copy_number:1.86E+02
P24178	copy_number:1.04E+03
P29680	copy_number:2.36E+02
P75736	copy_number:1.76E+02
P22188	copy_number:1.73E+02
P45389	copy_number:7.04E+02
P76290	copy_number:2.23E+02
P55139	copy_number:2.68E+02
P21645	copy_number:4.53E+02
P17448	copy_number:3.92E+02
P55253	copy_number:1.60E+02
P37440	copy_number:2.23E+02
P36564	copy_number:7.04E+02
P24245	copy_number:2.11E+03
P76370	copy_number:2.36E+02
P36995	copy_number:5.46E+02
P45799	copy_number:3.15E+02
P33636	copy_number:2.78E+02
P32105	copy_number:3.15E+02
Q46837	copy_number:8.80E+01
P23909	copy_number:8.80E+01
P78067	copy_number:1.37E+02
P21169	copy_number:1.14E+02
P08390	copy_number:2.68E+02
P30748	copy_number:7.04E+02
P16680	copy_number:7.04E+02
P36680	copy_number:2.29E+02
P41407	copy_number:3.15E+02
P76110	copy_number:1.04E+03
P23930	copy_number:1.86E+02
P28692	copy_number:2.29E+02
P16095	copy_number:2.89E+02
P03018	copy_number:9.26E+01
P15977	copy_number:1.49E+02
P21829	copy_number:3.92E+02
P09148	copy_number:2.12E+02
P05021	copy_number:1.73E+02
P23483	copy_number:5.46E+02
P31658	copy_number:2.89E+02
P45847	copy_number:2.78E+02
P39286	copy_number:2.02E+02
P46860	copy_number:2.12E+02
P40191	copy_number:2.89E+02
P37350	copy_number:1.62E+02
O65938	copy_number:5.46E+02
P32680	copy_number:2.68E+02
P12008	copy_number:2.36E+02
P27303	copy_number:1.79E+02
P03817	copy_number:6.13E+02
