energies,CoA_conc,valency,system,unbound,bound1CoA,bound2CoA,bound3CoA,bound4CoA,bound5+CoA,rep,AM_int,AN_int,BM_int,BN_int
AM-110_AN-160_BM-1_BN-1,1000,Nb,doubleTAD_doubleCoA,0.8215032679738563,0.17431372549019608,0.004183006535947713,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-1.0
AM-110_AN-160_BM-1_BN-1,2000,Nb,doubleTAD_doubleCoA,0.7015686274509805,0.2896078431372549,0.008823529411764707,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-1.0
AM-110_AN-160_BM-1_BN-110,20,Nb,doubleTAD_doubleCoA,0.9952941176470588,0.004705882352941177,0.0,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-110.0
AM-110_AN-160_BM-1_BN-110,160,Nb,doubleTAD_doubleCoA,0.962875816993464,0.03705882352941177,6.5359477124183e-05,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-110.0
AM-110_AN-160_BM-1_BN-110,500,Nb,doubleTAD_doubleCoA,0.8901307189542483,0.10869281045751633,0.0011764705882352942,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-110.0
AM-110_AN-160_BM-1_BN-110,1000,Nb,doubleTAD_doubleCoA,0.8011764705882353,0.19575163398692808,0.0030718954248366015,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-110.0
AM-110_AN-160_BM-1_BN-110,2000,Nb,doubleTAD_doubleCoA,0.6623529411764706,0.32764705882352935,0.01,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-110.0
AM-110_AN-160_BM-1_BN-160,20,Nb,doubleTAD_doubleCoA,0.991437908496732,0.008562091503267975,0.0,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-160.0
AM-110_AN-160_BM-1_BN-160,160,Nb,doubleTAD_doubleCoA,0.9301307189542484,0.06980392156862746,6.5359477124183e-05,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-160.0
AM-110_AN-160_BM-1_BN-160,500,Nb,doubleTAD_doubleCoA,0.8142483660130719,0.183921568627451,0.0018300653594771241,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-160.0
AM-110_AN-160_BM-1_BN-160,1000,Nb,doubleTAD_doubleCoA,0.691764705882353,0.3037254901960785,0.0045098039215686276,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-160.0
AM-110_AN-160_BM-1_BN-160,2000,Nb,doubleTAD_doubleCoA,0.5288235294117647,0.45967320261437905,0.01150326797385621,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-160.0
AM-110_AN-160_BM-1_BN-210,20,Nb,doubleTAD_doubleCoA,0.96437908496732,0.035620915032679744,0.0,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-210.0
AM-110_AN-160_BM-1_BN-210,160,Nb,doubleTAD_doubleCoA,0.7732679738562092,0.22640522875816993,0.000326797385620915,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-210.0
AM-110_AN-160_BM-1_BN-210,500,Nb,doubleTAD_doubleCoA,0.5252287581699346,0.4717647058823529,0.0030065359477124184,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-210.0
AM-110_AN-160_BM-1_BN-210,1000,Nb,doubleTAD_doubleCoA,0.3549673202614379,0.6364705882352941,0.008562091503267973,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-210.0
AM-110_AN-160_BM-1_BN-210,2000,Nb,doubleTAD_doubleCoA,0.2302614379084967,0.7499346405228757,0.019803921568627453,0.0,0.0,0.0,2.0,-110.0,-160.0,-1.0,-210.0
AM-110_AN-1_BM-110_BN-1,20,Nb,doubleTAD_doubleCoA,0.9987581699346406,0.001241830065359477,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-1.0
AM-110_AN-1_BM-110_BN-1,160,Nb,doubleTAD_doubleCoA,0.991830065359477,0.008169934640522876,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-1.0
AM-110_AN-1_BM-110_BN-1,500,Nb,doubleTAD_doubleCoA,0.9804575163398693,0.019542483660130717,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-1.0
AM-110_AN-1_BM-110_BN-1,1000,Nb,doubleTAD_doubleCoA,0.9554901960784313,0.04450980392156862,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-1.0
AM-110_AN-1_BM-110_BN-1,2000,Nb,doubleTAD_doubleCoA,0.9165359477124183,0.08339869281045752,6.5359477124183e-05,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-1.0
AM-110_AN-1_BM-110_BN-110,20,Nb,doubleTAD_doubleCoA,0.9975816993464052,0.002418300653594771,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-110.0
AM-110_AN-1_BM-110_BN-110,160,Nb,doubleTAD_doubleCoA,0.9867320261437907,0.013202614379084968,6.5359477124183e-05,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-110.0
AM-110_AN-1_BM-110_BN-110,500,Nb,doubleTAD_doubleCoA,0.959673202614379,0.040130718954248364,0.000196078431372549,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-110.0
AM-110_AN-1_BM-110_BN-110,1000,Nb,doubleTAD_doubleCoA,0.926797385620915,0.07261437908496732,0.000588235294117647,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-110.0
AM-110_AN-1_BM-110_BN-110,2000,Nb,doubleTAD_doubleCoA,0.8509150326797384,0.14483660130718953,0.004248366013071895,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-110.0
AM-110_AN-1_BM-110_BN-160,20,Nb,doubleTAD_doubleCoA,0.9947712418300654,0.00522875816993464,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-160.0
AM-110_AN-1_BM-110_BN-160,160,Nb,doubleTAD_doubleCoA,0.9564705882352941,0.043398692810457516,0.000130718954248366,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-160.0
AM-110_AN-1_BM-110_BN-160,500,Nb,doubleTAD_doubleCoA,0.8734640522875817,0.12522875816993465,0.00130718954248366,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-160.0
AM-110_AN-1_BM-110_BN-160,1000,Nb,doubleTAD_doubleCoA,0.7686928104575164,0.22647058823529412,0.004836601307189543,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-160.0
AM-110_AN-1_BM-110_BN-160,2000,Nb,doubleTAD_doubleCoA,0.6156209150326798,0.36843137254901964,0.015882352941176472,6.5359477124183e-05,0.0,0.0,2.0,-110.0,-1.0,-110.0,-160.0
AM-110_AN-1_BM-110_BN-210,20,Nb,doubleTAD_doubleCoA,0.9681699346405228,0.031830065359477126,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-210.0
AM-110_AN-1_BM-110_BN-210,160,Nb,doubleTAD_doubleCoA,0.7902614379084967,0.20934640522875816,0.000392156862745098,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-210.0
AM-110_AN-1_BM-110_BN-210,500,Nb,doubleTAD_doubleCoA,0.5565359477124183,0.4391503267973856,0.004313725490196078,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-210.0
AM-110_AN-1_BM-110_BN-210,1000,Nb,doubleTAD_doubleCoA,0.37823529411764706,0.6075816993464053,0.014183006535947713,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-210.0
AM-110_AN-1_BM-110_BN-210,2000,Nb,doubleTAD_doubleCoA,0.23372549019607844,0.7309150326797385,0.03535947712418301,0.0,0.0,0.0,2.0,-110.0,-1.0,-110.0,-210.0
AM-110_AN-1_BM-1_BN-1,20,Nb,doubleTAD_doubleCoA,0.9996078431372549,0.000392156862745098,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-1.0
AM-110_AN-1_BM-1_BN-1,160,Nb,doubleTAD_doubleCoA,0.9956209150326797,0.004379084967320261,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-1.0
AM-110_AN-1_BM-1_BN-1,500,Nb,doubleTAD_doubleCoA,0.9879738562091505,0.012026143790849675,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-1.0
AM-110_AN-1_BM-1_BN-1,1000,Nb,doubleTAD_doubleCoA,0.975751633986928,0.024248366013071898,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-1.0
AM-110_AN-1_BM-1_BN-1,2000,Nb,doubleTAD_doubleCoA,0.9564705882352941,0.043398692810457516,0.000130718954248366,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-1.0
AM-110_AN-1_BM-1_BN-110,20,Nb,doubleTAD_doubleCoA,0.9992156862745097,0.000784313725490196,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-110.0
AM-110_AN-1_BM-1_BN-110,160,Nb,doubleTAD_doubleCoA,0.9924183006535947,0.007581699346405231,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-110.0
AM-110_AN-1_BM-1_BN-110,500,Nb,doubleTAD_doubleCoA,0.9718300653594771,0.02790849673202615,0.000261437908496732,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-110.0
AM-110_AN-1_BM-1_BN-110,1000,Nb,doubleTAD_doubleCoA,0.9419607843137255,0.057581699346405224,0.000457516339869281,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-110.0
AM-110_AN-1_BM-1_BN-110,2000,Nb,doubleTAD_doubleCoA,0.8930718954248364,0.10529411764705883,0.0016339869281045752,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-110.0
AM-110_AN-1_BM-1_BN-160,20,Nb,doubleTAD_doubleCoA,0.9928758169934642,0.007124183006535948,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-160.0
AM-110_AN-1_BM-1_BN-160,160,Nb,doubleTAD_doubleCoA,0.9584967320261438,0.04150326797385621,0.0,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-160.0
AM-110_AN-1_BM-1_BN-160,500,Nb,doubleTAD_doubleCoA,0.8830718954248367,0.11607843137254903,0.000849673202614379,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-160.0
AM-110_AN-1_BM-1_BN-160,1000,Nb,doubleTAD_doubleCoA,0.7831372549019607,0.2148366013071895,0.0020261437908496733,0.0,0.0,0.0,2.0,-110.0,-1.0,-1.0,-160.0
