,system,AM_int,AN_int,BM_int,BN_int,Nb_Kd,Nb_Kd_SEM,Nb_Rmax,Nb_Rmax_SEM
136,doubleTAD_doubleCoA,AM-210,AN-1,BM-1,BN-1,9.441E+02,2.302E+01,1.127E+00,1.191E-02
137,doubleTAD_doubleCoA,AM-210,AN-1,BM-1,BN-110,7.963E+02,1.545E+01,1.209E+00,9.351E-03
138,doubleTAD_doubleCoA,AM-210,AN-1,BM-1,BN-160,3.747E+02,5.741E+00,1.250E+00,4.904E-03
139,doubleTAD_doubleCoA,AM-210,AN-1,BM-1,BN-210,1.261E+02,1.384E+00,1.225E+00,3.104E-03
140,doubleTAD_doubleCoA,AM-210,AN-1,BM-210,BN-1,5.196E+02,9.303E+00,1.116E+00,5.696E-03
141,doubleTAD_doubleCoA,AM-210,AN-1,BM-210,BN-110,5.018E+02,8.133E+00,1.184E+00,7.320E-03
142,doubleTAD_doubleCoA,AM-210,AN-1,BM-210,BN-160,3.313E+02,4.470E+00,1.295E+00,4.875E-03
143,doubleTAD_doubleCoA,AM-210,AN-1,BM-210,BN-210,1.403E+02,1.795E+00,1.311E+00,3.597E-03
144,doubleTAD_doubleCoA,AM-210,AN-210,BM-110,BN-1,8.835E+02,1.671E+01,2.071E+00,1.711E-02
145,doubleTAD_doubleCoA,AM-210,AN-210,BM-110,BN-110,7.816E+02,1.212E+01,1.963E+00,1.221E-02
146,doubleTAD_doubleCoA,AM-210,AN-210,BM-110,BN-160,4.458E+02,7.718E+00,1.666E+00,9.779E-03
147,doubleTAD_doubleCoA,AM-210,AN-210,BM-110,BN-210,1.390E+02,1.928E+00,1.307E+00,3.920E-03
148,doubleTAD_doubleCoA,AM-210,AN-210,BM-160,BN-1,4.694E+02,7.766E+00,1.673E+00,1.016E-02
149,doubleTAD_doubleCoA,AM-210,AN-210,BM-160,BN-110,4.539E+02,7.358E+00,1.677E+00,8.789E-03
150,doubleTAD_doubleCoA,AM-210,AN-210,BM-160,BN-160,3.368E+02,4.470E+00,1.554E+00,6.574E-03
151,doubleTAD_doubleCoA,AM-210,AN-210,BM-160,BN-210,1.342E+02,1.541E+00,1.309E+00,4.049E-03
152,doubleTAD_doubleCoA,AM-210,AN-210,BM-1,BN-1,9.608E+02,1.664E+01,2.157E+00,1.499E-02
153,doubleTAD_doubleCoA,AM-210,AN-210,BM-1,BN-110,8.765E+02,1.257E+01,2.067E+00,1.344E-02
154,doubleTAD_doubleCoA,AM-210,AN-210,BM-1,BN-160,4.866E+02,7.610E+00,1.697E+00,8.812E-03
155,doubleTAD_doubleCoA,AM-210,AN-210,BM-1,BN-210,1.401E+02,1.690E+00,1.311E+00,3.387E-03
156,doubleTAD_doubleCoA,AM-210,AN-210,BM-210,BN-1,1.395E+02,1.711E+00,1.304E+00,3.677E-03
157,doubleTAD_doubleCoA,AM-210,AN-210,BM-210,BN-110,1.375E+02,1.991E+00,1.301E+00,4.916E-03
158,doubleTAD_doubleCoA,AM-210,AN-210,BM-210,BN-160,1.325E+02,1.600E+00,1.300E+00,3.394E-03
159,doubleTAD_doubleCoA,AM-210,AN-210,BM-210,BN-210,1.130E+02,1.376E+00,1.301E+00,2.831E-03
