Q8TFH1	copy_number:90943
Q9C100	copy_number:32206
Q09920	copy_number:32511
Q9UU83	copy_number:17880
Q9USP6	copy_number:81622
O94692	copy_number:56749
Q9URY8	copy_number:7766
Q9URV8	copy_number:71142
O74919	copy_number:49074
O60080	copy_number:10323
O42945	copy_number:19437
Q09778	copy_number:6118
Q9UTI1	copy_number:23690
O43034	copy_number:51086
C6Y4B8	copy_number:22220
G2TRQ0	copy_number:89038
P47943	copy_number:438624
O42881	copy_number:15577
O60094	copy_number:9513
O94700	copy_number:113723
O14450	copy_number:43317
Q10202	copy_number:14797
Q9P3U0	copy_number:12297
O60057	copy_number:34061
O13968	copy_number:73005
P54069	copy_number:30669
Q9UUI4	copy_number:12947
O59673	copy_number:102790
Q10106	copy_number:24040
O94353	copy_number:64073
O74745	copy_number:754
O36022	copy_number:23366
Q1MTN8	copy_number:9908
Q9UUE2	copy_number:15243
O13802	copy_number:22608
Q10218	copy_number:4909
O13863	copy_number:1429
Q9UUM7	copy_number:26217
Q9P7M8	copy_number:7882
O74918	copy_number:7043
O13793	copy_number:47651
O13813	copy_number:39163
Q9USR3	copy_number:3495
Q10169	copy_number:89298
O43049	copy_number:53866
P87118	copy_number:27591
P33532	copy_number:5840
P14965	copy_number:103453
Q9UTR1	copy_number:5730
P78795	copy_number:58058
O14359	copy_number:60258
O13736	copy_number:13148
O59787	copy_number:20907
Q9UTK6	copy_number:2090
Q1MTP1	copy_number:4888
P05734	copy_number:335370
Q9P7V6	copy_number:13774
Q10344	copy_number:689996
Q9P6S3	copy_number:2946
Q9URY1	copy_number:775
Q09782	copy_number:28814
Q09818	copy_number:11461
O94578	copy_number:31442
O94586	copy_number:32721
O94414	copy_number:8688
O60163	copy_number:33273
P0CT70	copy_number:308773
P53692	copy_number:4373
Q9P6I5	copy_number:120483
O74962	copy_number:14432
Q9UTC9	copy_number:47744
Q10066	copy_number:210639
Q9UT55	copy_number:69307
Q10113	copy_number:14909
Q9HDY5	copy_number:9530
O14139	copy_number:7509
Q10081	copy_number:122794
O43058	copy_number:955
Q9USQ4	copy_number:9765
Q9Y7L8	copy_number:636115
Q10214	copy_number:21518
O74498	copy_number:13101
O14187	copy_number:4059
Q9US25	copy_number:45792
Q9P5N2	copy_number:7975
Q09179	copy_number:87682
O74755	copy_number:3570
Q10364	copy_number:1779
Q9USM7	copy_number:33606
Q09805	copy_number:10022
O94246	copy_number:62044
Q10481	copy_number:96683
Q9P382	copy_number:13344
Q9URV6	copy_number:82687
Q10352	copy_number:22398
Q9HFE4	copy_number:145165
P22194	copy_number:14518
Q10166	copy_number:63830
O14266	copy_number:5270
Q9P7L2	copy_number:8131
O74557	copy_number:66136
Q10299	copy_number:15210
Q10277	copy_number:5297
