Proteome Id	Organism Id	Protein count
UP000203177	1912759	6
UP000203209	1923122	1
UP000203211	1923597	1
UP000203220	1923632	1
UP000203232	207240	8
UP000203262	1923717	1
UP000203276	1046573	8
UP000203311	1532882	8
UP000203312	1746064	1
UP000203322	1923440	1
UP000203362	1608095	3
UP000203381	390437	8
UP000203444	1227356	7
UP000203450	1738045	5
UP000203460	1922600	1
UP000203499	915428	7
UP000203509	1922597	1
UP000203524	1504732	6
UP000203571	377610	6
UP000203619	559878	8
UP000203625	1923113	1
UP000203655	1922378	1
UP000203716	1868659	4
UP000203719	1922379	1
UP000203720	1302849	4
UP000203802	1923610	1
UP000203808	509532	8
UP000203839	1923405	1
UP000203843	293284	7
UP000203848	1923536	1
UP000203866	1241370	6
UP000203874	1923252	1
UP000203953	390438	8
UP000204000	159122	8
UP000204001	908127	6
UP000204045	1923630	1
UP000204047	1923000	1
UP000204063	290030	6
UP000204072	1923408	1
UP000204117	340921	1
UP000204123	1746059	1
UP000204127	1923612	1
UP000204128	1923537	1
UP000204130	627503	6
UP000204161	1922377	1
UP000204191	1922499	1
UP000204223	1923253	1
UP000204247	1923116	1
UP000204340	1923145	1
UP000204345	292477	7
UP000204355	1923111	1
UP000204375	220932	6
UP000204383	1923126	1
UP000204396	1922861	1
UP000204423	1335477	6
UP000204432	418448	5
UP000204442	269301	5
UP000204448	1508224	5
UP000204467	1923144	1
UP000204505	1737555	7
UP000204508	2016467	1
UP000204526	1685728	1
UP000204531	1923716	1
UP000204539	1983777	6
UP000204563	222450	5
UP000204600	1923124	1
UP000204601	1923407	1
UP000204610	2169853	1
UP000204639	1922794	1
UP000204656	1492296	4
UP000205120	393174	5
UP000207604	42478	2
UP000207624	1030595	4
UP000207625	1923129	1
UP000207686	1922611	1
UP000208070	302100	6
UP000208083	1922615	1
UP000208084	1923631	1
UP000208085	1778573	1
UP000208093	1843763	1
UP000211161	12445	1
UP000217275	35341	8
UP000217278	223284	7
UP000217300	2025339	7
UP000217306	2025338	6
UP000218191	1930508	1
UP000221556	10967	11
UP000225550	73036	11
UP000226207	672377	11
UP000232240	2003398	1
UP000232260	1608058	3
UP000232487	223252	6
UP000232512	62079	5
UP000232622	333968	6
UP000232630	53260	6
UP000232760	1264880	7
UP000232774	11577	5
UP000232827	120168	6
UP000232843	1283294	3
UP000234750	296190	7
UP000240444	188333	6
UP000240491	1960710	8
UP000240547	2093274	5
UP000240557	207697	6
UP000240812	1578825	6
UP000241004	1747359	6
UP000241080	2006074	6
UP000241081	582838	7
UP000241117	1922325	8
UP000241288	2077302	6
UP000241576	321302	2
UP000241584	1928005	8
UP000241640	401040	5
UP000241730	2077305	6
UP000241838	2077306	6
UP000241855	1747360	6
UP000241967	2077303	6
UP000242189	1188793	1
UP000242725	1163701	6
UP000242973	2169747	1
UP000242984	1457322	1
UP000243400	361697	4
UP000243649	1608100	1
UP000243730	223361	4
UP000243776	10821	3
UP000243777	223313	2
UP000243897	1218727	2
UP000246436	36370	7
UP000247041	1851215	6
UP000248658	2218660	3
UP000250097	603333	5
UP000259687	349975	7
UP000260447	349974	8
UP000260611	538563	5
UP000267174	1930507	1
UP000269863	1608081	1
UP000271054	1796003	1
UP000272134	1150353	1
UP000272493	1930510	1
UP000274143	1916647	1
UP000274531	1074214	1
UP000277466	1608120	2
UP000279185	1719049	1
UP000287441	1475143	2
UP000287589	1959842	1
UP000288656	2171383	1
UP000289151	1961680	7
UP000289183	1961682	7
UP000289194	337051	7
UP000289227	2049444	6
UP000289303	2077307	5
UP000289354	2304619	7
UP000289405	1513257	6
UP000289407	2012857	4
UP000289424	192971	7
UP000289456	1513260	7
UP000289561	2294152	7
UP000289604	2079458	2
UP000289625	1513261	7
UP000289773	1175849	7
UP000289852	1961681	7
UP000289871	2012856	4
UP000289910	1175848	6
UP000289925	2364644	7
UP000289953	1961679	7
UP000290012	2294156	7
UP000290093	333931	7
UP000290130	1175851	7
UP000290157	2294151	7
UP000290211	333767	7
UP000290315	1809243	1
UP000290319	2364646	7
UP000290375	1175852	7
UP000290381	2560314	8
UP000290390	1905556	5
UP000290398	1513263	6
UP000290488	334209	7
UP000290584	1513258	7
UP000290659	2268125	7
UP000290805	1959848	6
UP000290831	1175850	7
UP000290834	2480191	1
UP000290839	2364645	7
UP000290976	334208	7
UP000290978	2304620	7
UP000294446	1072204	1
UP000296996	392761	6
UP000297034	2560714	1
UP000297054	2025388	4
UP000297087	1387160	7
UP000297109	2560380	6
UP000297120	3052122	1
UP000318901	2064730	24
UP000500734	2182586	2
UP000500835	1608084	2
UP000501328	3052181	7
UP000501712	595652	2
UP000501844	2849735	8
UP000502014	2656732	1
UP000502414	2583366	2
UP000503027	1608056	2
UP000503377	1977075	2
UP000503537	2849243	6
UP000516359	10244	183
UP000593759	2486070	8
UP000663443	2202649	1
UP000676374	1329650	1
UP000677586	2692019	1
UP000678381	2847850	1
UP000678394	2692020	1
UP000679816	2596882	3
UP000679867	2664941	8
UP000679871	2738470	6
UP000679894	2652756	2
UP000680017	2593922	7
UP000681497	10519	21
UP000682736	2664940	8
UP000683128	2847821	3
UP000830136	2792567	2
UP000830517	3070181	6
UP000831182	2746353	3
UP001161496	2973796	1
UP001161503	2973798	1
UP001161516	2968921	1
UP001180238	2691587	7
UP001181211	1526522	2
UP001182634	2846955	6
UP001183280	2836817	1
UP001184259	3000307	8
UP001184505	2905446	1
UP001184506	2905445	1
UP001184560	292505	6
UP001185333	269108	6
UP001185370	266801	8
UP001224391	2364129	1
UP001228384	2605630	1
UP001228978	2591232	5
UP001230584	2489148	1
UP001230763	2613538	1
UP001231205	374006	1
UP001231237	1972564	5
UP001232198	2060140	9
UP001232653	485388	9
UP001234794	2590062	1
UP001236203	2562515	7
UP001237134	2781379	3
UP001237604	2592540	4
UP001239387	2704502	7
UP001240507	2601244	7
UP001241156	2583416	6
UP001241646	2501277	1
UP001242473	2664215	7
UP001243427	2501279	1
UP001243762	2562516	6
UP001243791	2200956	9
UP001243831	2060139	9
UP001244029	2751155	6
UP001244329	2714896	7
UP001246092	2831903	7
UP001247283	2940985	8
UP001247292	2877493	3
UP001247562	2905502	1
UP001250885	2877505	7
UP001251679	2877470	7
UP001252873	2983317	8
UP001253744	2905499	1
UP001255281	1314973	3
UP001255779	2987746	5
UP001256090	1188810	7
UP001256227	2905501	1
UP001259604	2963340	1
UP001260159	2990447	8
UP001260235	2905504	1
UP001260289	2829171	1
UP001261200	2905266	1
UP001261815	2877504	6
UP001263515	2877512	7
UP001264912	2983318	8
UP001265341	2905281	1
UP000000335	866889	47
UP000000337	767473	4
UP000000348	649603	12
UP000000349	649596	11
UP000000352	45237	2
UP000000367	110457	59
UP000000369	29252	43
UP000000402	649894	5
UP000000412	650489	6
UP000000414	35297	3
UP000000513	654911	54
UP000000514	654909	40
UP000000516	654922	1
UP000000572	652109	4
UP000000573	652110	3
UP000000574	652597	4
UP000000575	12055	5
UP000000618	532077	51
UP000000679	651358	5
UP000000681	649896	1
UP000000725	155148	58
UP000000744	2992639	27
UP000000832	649604	12
UP000000839	2905675	54
UP000000842	204270	49
UP000000853	2682836	54
UP000000854	244589	34
UP000000866	305674	165
UP000000867	31530	158
UP000000868	10272	153
UP000000869	10280	163
UP000000870	647330	129
UP000000871	300880	146
UP000000941	654901	70
UP000000978	83201	9
UP000001000	227720	50
UP000001046	154784	4
UP000001065	10651	9
UP000001101	686950	6
UP000001102	652675	3
UP000001103	652838	3
UP000001134	212035	909
UP000001165	197783	42
UP000001252	10854	12
UP000001295	766189	3
UP000001358	345201	126
UP000001530	344021	43
UP000001573	46014	14
UP000001594	10553	38
UP000001664	686947	5
UP000001665	652599	5
UP000001672	654934	2
UP000001673	647331	2
UP000001675	648168	13
UP000001676	648170	9
UP000001677	648172	12
UP000001713	1289570	41
UP000001764	185959	13
UP000001773	2907838	20
UP000001792	369257	45
UP000001795	10754	72
UP000001863	543939	21
UP000001864	526118	49
UP000002060	587200	198
UP000002092	10759	55
UP000002104	260827	12
UP000002107	2695836	162
UP000002121	2011081	14
UP000002123	31757	90
UP000002125	2003327	8
UP000002131	28369	77
UP000002132	1604876	60
UP000002135	10730	80
UP000002136	2905728	21
UP000002140	10843	10
UP000002150	315953	72
UP000002243	10653	3
UP000002244	38062	5
UP000002270	157898	43
UP000002348	254252	49
UP000002418	145579	11
UP000002559	10724	97
UP000002576	2681617	60
UP000002632	674082	44
UP000002909	1206558	262
UP000006636	766185	3
UP000006707	651354	13
UP000006712	648169	10
UP000006713	185783	12
UP000006714	654932	4
UP000006719	230407	11
UP000006720	10986	12
UP000006721	58103	3
UP000006824	650482	4
UP000006921	766191	2
UP000006930	36351	98
UP000007017	654908	73
UP000007021	654903	116
UP000007024	654912	35
UP000007071	882210	5
UP000007078	766184	2
UP000007079	766190	3
UP000007080	766187	3
UP000007083	82831	77
UP000007085	654933	1
UP000007432	648251	4
UP000007454	77856	7
UP000007550	487067	3
UP000007551	687366	4
UP000007553	687343	2
UP000007643	766178	76
UP000007763	175814	7
UP000007785	1985704	8
UP000008028	654928	144
UP000008072	10389	90
UP000008089	114430	30
UP000008091	2886926	111
UP000008154	652962	6
UP000008168	654919	53
UP000008184	482822	56
UP000008256	486275	4
UP000008257	687342	6
UP000008258	687345	3
UP000008259	486277	2
UP000008260	486279	4
UP000008261	687364	3
UP000008269	10249	256
UP000008287	85618	71
UP000008588	928297	12
UP000008596	928314	140
UP000008597	928301	251
UP000008622	10650	7
UP000008770	654924	98
UP000008778	766182	2
UP000008779	766183	3
UP000008780	766186	4
UP000008781	766188	3
UP000008786	654914	6
UP000008790	654917	6
UP000008853	1090133	23
UP000008891	1051673	51
UP000009060	2885846	15
UP000009068	55884	53
UP000009089	10747	28
UP000009091	2932878	185
UP000009092	2905681	43
UP000009093	10680	13
UP000009174	97195	4
UP000009196	1239382	45
UP000009246	57278	99
UP000009247	114102	23
UP000009248	262177	152
UP000009269	652963	4
UP000009401	634168	9
UP000010081	1235640	4
UP000011243	1283346	9
UP000011244	1283347	8
UP000011260	1289384	2
UP000011261	1289385	1
UP000011262	1289386	3
UP000011263	1289474	2
UP000011265	1289468	4
UP000011266	1289469	4
UP000011272	674953	2
UP000011276	658904	4
UP000011786	572290	9
UP000018354	186617	114
UP000019156	1455075	57
UP000019157	1455076	57
UP000019163	1410331	45
