Proteome Id	Organism Id
UP000232240	2003398
UP000232260	1608058
UP000232487	223252
UP000232512	62079
UP000232622	333968
UP000232630	53260
UP000232760	1264880
UP000232774	11577
UP000232827	120168
UP000232843	1283294
UP000234750	296190
UP000240444	188333
UP000240491	1960710
UP000240547	2093274
UP000240557	207697
UP000240812	1578825
UP000241004	1747359
UP000241080	2006074
UP000241081	582838
UP000241117	1922325
UP000241288	2077302
UP000241576	321302
UP000241584	1928005
UP000241640	401040
UP000241730	2077305
UP000241838	2077306
UP000241855	1747360
UP000241967	2077303
UP000242189	1188793
UP000242725	1163701
UP000242973	2169747
UP000242984	1457322
UP000243400	361697
UP000243649	1608100
UP000243730	223361
UP000243776	10821
UP000243777	223313
UP000243897	1218727
UP000246436	36370
UP000247041	1851215
UP000248658	2218660
UP000250097	603333
UP000259687	349975
UP000260447	349974
UP000260611	538563
UP000267174	1930507
UP000269863	1608081
UP000271054	1796003
UP000272134	1150353
UP000272493	1930510
UP000274143	1916647
UP000274531	1074214
UP000277466	1608120
UP000279185	1719049
UP000287441	1475143
UP000287589	1959842
UP000288656	2171383
UP000289151	1961680
UP000289183	1961682
UP000289194	337051
UP000289227	2049444
UP000289303	2077307
UP000289354	2304619
UP000289405	1513257
UP000289407	2012857
UP000289424	192971
UP000289456	1513260
UP000289561	2294152
UP000289604	2079458
UP000289625	1513261
UP000289773	1175849
UP000289852	1961681
UP000289871	2012856
UP000289910	1175848
UP000289925	2364644
UP000289953	1961679
UP000290012	2294156
UP000290093	333931
UP000290130	1175851
UP000290157	2294151
UP000290211	333767
UP000290315	1809243
UP000290319	2364646
UP000290375	1175852
UP000290381	2560314
UP000290390	1905556
UP000290398	1513263
UP000290488	334209
UP000290584	1513258
UP000290659	2268125
UP000290805	1959848
UP000290831	1175850
UP000290834	2480191
UP000290839	2364645
UP000290976	334208
UP000290978	2304620
UP000294446	1072204
UP000296996	392761
UP000297034	2560714
UP000297054	2025388
UP000297087	1387160
UP000297109	2560380
UP000297120	3052122
UP000318901	2064730
UP000500734	2182586
UP000500835	1608084
UP000501328	3052181
UP000501712	595652
UP000501844	2849735
UP000502014	2656732
UP000502414	2583366
UP000503027	1608056
UP000503377	1977075
UP000503537	2849243
UP000516359	10244
UP000593759	2486070
UP000663443	2202649
UP000676374	1329650
UP000677586	2692019
UP000678381	2847850
UP000678394	2692020
UP000679816	2596882
UP000679867	2664941
UP000679871	2738470
UP000679894	2652756
UP000680017	2593922
UP000681497	10519
UP000682736	2664940
UP000683128	2847821
UP000830136	2792567
UP000830517	3070181
UP000831182	2746353
UP001161496	2973796
UP001161503	2973798
UP001161516	2968921
UP001180238	2691587
UP001181211	1526522
UP001182634	2846955
UP001183280	2836817
UP001184259	3000307
UP001184505	2905446
UP001184506	2905445
UP001184560	292505
UP001185333	269108
UP001185370	266801
