Q9FFF1	copy_number:406.2586421
Q4PSY2	copy_number:406.307863
Q9LUL8	copy_number:406.3894114
Q9SHV7	copy_number:406.8570224
Q9FFJ8	copy_number:407.3427181
Q9FNY0	copy_number:408.0614143
Q9ZVH5	copy_number:408.5554353
Q56XR6	copy_number:408.7717513
Q84JH9	copy_number:408.8106813
Q7PC81	copy_number:409.1005539
Q9LZ15	copy_number:409.4376964
Q9FH76	copy_number:409.8622547
Q94BZ1	copy_number:410.3920345
Q9LQQ1	copy_number:410.4234254
O81211	copy_number:410.5301901
Q3EC97	copy_number:411.362658
Q9FLR0	copy_number:411.4296852
Q9LUJ2	copy_number:411.8860503
Q8VZA0	copy_number:412.6859398
Q0WX00	copy_number:412.9535253
Q9SYQ0	copy_number:413.2882966
Q3S4A7	copy_number:414.1955357
C0LGU1	copy_number:414.6095992
O49680	copy_number:417.0024708
Q8LDS3	copy_number:417.3905094
Q949Z1	copy_number:417.9545924
Q9LVR6	copy_number:418.3138299
Q9SIA1	copy_number:418.3342134
Q9LV41	copy_number:421.7174484
Q9M0E1	copy_number:421.8467526
Q9CAH1	copy_number:421.8757741
Q9LFN8	copy_number:422.0375382
Q9SJP6	copy_number:422.1927823
Q0WWX5	copy_number:423.02991
Q9SS86	copy_number:423.0349128
P0CE10	copy_number:424.736437
Q9LK21	copy_number:424.7469438
Q9ZQX6	copy_number:424.8310172
Q9SR66	copy_number:425.0797888
Q9SW97	copy_number:425.2952802
Q9LPS8	copy_number:425.3083431
O04660	copy_number:425.4111884
Q9FJD6	copy_number:426.5843522
Q9LPJ7	copy_number:426.7535664
F4IN32	copy_number:426.8078791
Q9LPG3	copy_number:427.4875305
Q8S8F2	copy_number:427.9102669
Q3E9F6	copy_number:428.4958907
C0SUU8	copy_number:428.6375179
Q9FRH7	copy_number:429.1753547
Q9FZ99	copy_number:430.1925648
Q9STE6	copy_number:430.2801019
Q3ECH2	copy_number:431.8101864
Q9CA63	copy_number:432.3089932
Q945S5	copy_number:432.6453696
Q8GXE6	copy_number:432.6588879
Q9SIV7	copy_number:432.9001785
P61430	copy_number:433.5017384
I3XHK1	copy_number:434.0218698
Q9CA56	copy_number:435.1280691
Q9FKH1	copy_number:435.2997164
Q9STE7	copy_number:437.3897058
O22932	copy_number:437.8670993
Q9LQ54	copy_number:438.6703051
Q9FHN9	copy_number:439.1563403
Q9LDM4	copy_number:439.2408218
Q9SWA6	copy_number:439.7069524
F4J8G2	copy_number:439.7560526
Q9LJ42	copy_number:440.1659489
Q9CAX8	copy_number:440.2697842
F4K493	copy_number:443.1050857
Q8RWF4	copy_number:443.3729785
F4K0J3	copy_number:443.3824431
F4HVS0	copy_number:444.3008961
Q689D6	copy_number:444.4978082
