A0A1P8AMQ4	copy_number:319.0506446
F4J6S0	copy_number:319.3316633
F4K4G6	copy_number:320.8962329
F4JTX3	copy_number:321.567405
A0A1P8BES3	copy_number:321.7896627
O22787	copy_number:322.7186488
Q9SLH0	copy_number:322.7734907
Q9FVP7	copy_number:323.1632586
Q94K98	copy_number:323.4306129
Q9SAU9	copy_number:323.7653065
F4I6H7	copy_number:324.0204504
Q9FHF0	copy_number:324.214521
Q9XEE6	copy_number:324.4441326
Q9LK83	copy_number:326.0377812
F4ICM3	copy_number:326.7000703
Q9LDD4	copy_number:326.8508189
F4IXX4	copy_number:326.9274903
Q9SH71	copy_number:328.5293451
A0A1P8B9U1	copy_number:328.7346463
A0A1P8AUC8	copy_number:329.1828716
F4KCX4	copy_number:329.3773644
F4JXH5	copy_number:329.7032121
Q5XF57	copy_number:329.9525864
A0A1P8BH82	copy_number:329.9566443
Q56W08	copy_number:330.4850334
F4K529	copy_number:331.9294137
Q5PP23	copy_number:332.2253599
P0C8Q5	copy_number:332.3153787
Q9M219	copy_number:332.4394273
Q9SGI4	copy_number:333.0765681
Q9FLZ1	copy_number:333.4807508
Q05999	copy_number:333.867218
Q9FND1	copy_number:333.8698148
F4KE93	copy_number:334.2686376
Q9LK10	copy_number:334.463455
F4IDH6	copy_number:336.3498542
A0A1P8B2I3	copy_number:336.4379032
A0A1P8BAP6	copy_number:336.6547952
A0A1P8AU56	copy_number:336.7176458
Q8GW98	copy_number:336.8138156
F4IGQ3	copy_number:337.0949781
F4KGW9	copy_number:337.2965503
Q7Y1C4	copy_number:337.3233211
A0A1P8BG54	copy_number:337.9088339
Q8S9M4	copy_number:338.3248367
Q9LXU9	copy_number:338.9162427
P0DH85	copy_number:339.2912804
Q9FKZ6	copy_number:339.5838493
Q0WPX9	copy_number:340.0309221
Q9LV85	copy_number:340.076718
A0A1P8AN07	copy_number:341.0223226
Q9SVE6	copy_number:341.3759739
A0A1I9LM69	copy_number:341.7787912
Q9XIC5	copy_number:342.9326836
O22267	copy_number:343.3188648
Q93YW3	copy_number:346.6038334
A0A1P8AT04	copy_number:346.6144686
Q9SAH2	copy_number:347.8165185
O49397	copy_number:348.1307572
Q9FFN9	copy_number:348.4025768
Q500V8	copy_number:350.2629527
Q9LN22	copy_number:350.6595273
Q9FFS5	copy_number:351.6684442
Q9S9X4	copy_number:351.824089
Q940Q2	copy_number:352.7295526
O49399	copy_number:352.7689759
Q9LYD9	copy_number:352.8049284
Q45GG2	copy_number:352.9482311
A0A1I9LM08	copy_number:352.9865422
A0A1P8B6D3	copy_number:353.9540353
Q9SS92	copy_number:353.9750506
Q9SVG5	copy_number:355.3940737
Q9LTD4	copy_number:355.4847228
F4HS79	copy_number:355.8507322
F4JNY4	copy_number:356.4494016
F4IBK8	copy_number:356.9440952
Q84J48	copy_number:357.0097028
O23076	copy_number:357.5110157
Q9FN55	copy_number:357.6545918
F4K0Y2	copy_number:357.7527585
A0A1P8AWB3	copy_number:358.0710777
Q9FMH4	copy_number:358.0937796
F4I5Z7	copy_number:358.1592129
C0LGR3	copy_number:359.1279655
Q6DYD0	copy_number:359.3390093
O65607	copy_number:359.6171718
A0A1P8BH84	copy_number:360.4845197
A0A1P8AP19	copy_number:360.6304945
Q9SS05	copy_number:360.8906346
Q9LXY3	copy_number:361.0175054
Q9SKC4	copy_number:361.0399751
Q9FI32	copy_number:361.3365941
Q94C55	copy_number:361.3469359
O80614	copy_number:361.5465882
Q9LJZ2	copy_number:361.5904439
A0A1P8BDE2	copy_number:361.7336579
Q8GYF4	copy_number:362.4679602
Q9FG97	copy_number:362.9178289
A0A2H1ZEE8	copy_number:362.9657008
F4HPN1	copy_number:363.791633
F4KG63	copy_number:363.8869257
A0A1P8BDU2	copy_number:364.3953789
A0A1P8AX86	copy_number:364.6287661
Q0WQ93	copy_number:364.7939271
F4JNB2	copy_number:364.8264812
Q9CAK0	copy_number:364.9961663
F4JMQ2	copy_number:365.6450282
Q56XW8	copy_number:366.150914
Q9LSF8	copy_number:366.4497372
F4KBB1	copy_number:366.537351
Q9C9A2	copy_number:366.7358886
Q9C6B2	copy_number:367.4101382
Q9SUE7	copy_number:367.7107061
Q9C5M7	copy_number:367.9013728
Q9FWY3	copy_number:368.4963871
A0A1P8AXC7	copy_number:368.754698
O22792	copy_number:369.086982
O49323	copy_number:369.8396828
Q9SJ08	copy_number:370.1276444
A0A1P8ATT2	copy_number:370.2368234
Q9LW36	copy_number:370.4636873
F4IUH2	copy_number:371.2239457
O81020	copy_number:372.0956746
F4KFY5	copy_number:372.3797314
Q9FNJ2	copy_number:372.7331473
Q9T014	copy_number:373.2523596
F4HZ08	copy_number:373.7713931
Q8S8P5	copy_number:375.366402
F4J099	copy_number:376.0793799
F4K6Z1	copy_number:376.1980333
Q9M2C8	copy_number:376.67538
F4JP80	copy_number:376.756709
Q9FH67	copy_number:377.3250064
Q9S7V6	copy_number:377.7972389
A0A1P8APX2	copy_number:378.2746549
Q9LM73	copy_number:378.36468
A0A1P8BCQ9	copy_number:378.5475293
Q9C699	copy_number:378.7305555
Q8H0X4	copy_number:378.8421948
B3H7K1	copy_number:378.8442009
Q0WTF4	copy_number:378.96126
Q9LEY2	copy_number:379.2954434
Q9LJJ1	copy_number:379.4228425
A0A1I9LRC1	copy_number:380.0577592
A0A1I9LNX8	copy_number:380.5732978
A0A1P8AN74	copy_number:382.1501121
Q9FH20	copy_number:383.9641888
Q9ZV29	copy_number:384.1315217
Q9MA50	copy_number:384.7912765
Q9ZV28	copy_number:385.4020826
Q8W1D5	copy_number:386.283
Q9FLJ6	copy_number:386.3831379
A0A1P8B4T4	copy_number:386.5111673
A0A178UU23	copy_number:386.6093343
Q5FV41	copy_number:386.9641253
F4KEF0	copy_number:387.339839
A0A1P8AVW3	copy_number:388.3525792
Q9M0G7	copy_number:388.5504874
A0A2H1ZEJ7	copy_number:388.6650593
F4JLV7	copy_number:388.7035388
Q9CAT1	copy_number:389.1835284
A0A1P8BHJ4	copy_number:389.4964053
A0A1P8B5M1	copy_number:389.753156
Q8GXX5	copy_number:389.7892555
Q9SIN9	copy_number:390.7807064
Q5BPZ1	copy_number:391.559218
Q9M8L5	copy_number:392.2820362
Q9FL05	copy_number:392.566885
A0A1P8BAR9	copy_number:392.9571599
Q9XI77	copy_number:393.9915709
A0A1P8AP42	copy_number:394.4731169
Q9MA52	copy_number:395.5578129
Q9M1D8	copy_number:395.8445204
O82344	copy_number:396.053429
A0A1P8BB87	copy_number:396.3628137
O23210	copy_number:396.3759898
A0A1P8AQN2	copy_number:396.8780627
F4KEL9	copy_number:396.9397184
A0A1I9LQQ5	copy_number:397.8299833
Q93Z04	copy_number:397.9878509
Q9LXR0	copy_number:398.0727381
A0A1P8B036	copy_number:398.2341234
Q5PP35	copy_number:398.360886
Q9LVT3	copy_number:398.4540692
Q9LZI1	copy_number:399.8503617
Q5BPJ1	copy_number:400.0911141
Q7X9B9	copy_number:400.1373599
Q9FGL5	copy_number:400.1388518
Q9SCP2	copy_number:400.4778184
Q9SEZ7	copy_number:400.7941569
F4I5S3	copy_number:401.1049987
Q9SUT8	copy_number:401.3592733
Q9FWX5	copy_number:401.4568682
A4IJ37	copy_number:401.4636266
Q9S9U3	copy_number:402.4022359
F4J0Y8	copy_number:402.4180801
A0A1P8AS46	copy_number:404.4008535
A0A1P8BBY8	copy_number:404.4084733
A8MRX5	copy_number:404.6783997
F4I131	copy_number:404.7009099
A0A1I9LLI4	copy_number:405.2292809
F4HS21	copy_number:405.6558856
Q9ZPS0	copy_number:405.8867947
Q9FFF1	copy_number:406.2586421
Q4PSY2	copy_number:406.307863
Q9LUL8	copy_number:406.3894114
Q9SHV7	copy_number:406.8570224
Q9FFJ8	copy_number:407.3427181
Q8L5Y2	copy_number:407.7900566
Q9C9R9	copy_number:407.975316
F4ILT1	copy_number:408.0614143
Q9ZVH5	copy_number:408.5554353
Q8L634	copy_number:408.5811012
Q56XR6	copy_number:408.7717513
Q84JH9	copy_number:408.8106813
Q7PC81	copy_number:409.1005539
Q9LZ15	copy_number:409.4376964
Q9FH76	copy_number:409.8622547
Q944M6	copy_number:409.9945714
Q94BZ1	copy_number:410.3920345
Q9LQQ1	copy_number:410.4234254
O81211	copy_number:410.5301901
Q940Q0	copy_number:410.8696941
Q3EC97	copy_number:411.362658
Q9FLR0	copy_number:411.4296852
Q9ZV90	copy_number:411.7122281
F4J1L5	copy_number:411.8860503
A0A1I9LPW8	copy_number:412.6859398
F4I2H5	copy_number:412.9535253
Q9LJM6	copy_number:413.0520714
Q9SYQ0	copy_number:413.2882966
F4HYN6	copy_number:413.5606484
Q3S4A7	copy_number:414.1955357
F4JDV4	copy_number:414.3890624
Q9SGS1	copy_number:414.4910966
A0A1R7T3G3	copy_number:414.6095992
O49680	copy_number:417.0024708
Q8LDS3	copy_number:417.3905094
Q949Z1	copy_number:417.9545924
Q9STG7	copy_number:418.0864855
F4K0P2	copy_number:418.3138299
Q9SIA1	copy_number:418.3342134
F4ISB4	copy_number:419.02598
A2RVN9	copy_number:419.1945715
Q8H1N2	copy_number:419.3747705
Q9LJA2	copy_number:419.5469233
Q38958	copy_number:420.1555074
Q9LZS4	copy_number:420.1797724
Q9LV41	copy_number:421.7174484
Q9M0E1	copy_number:421.8467526
Q9CAH1	copy_number:421.8757741
Q9LFN8	copy_number:422.0375382
Q9SJP6	copy_number:422.1927823
F4HU48	copy_number:423.02991
Q9SS86	copy_number:423.0349128
Q147G2	copy_number:424.4084652
P0CE10	copy_number:424.736437
Q9LK21	copy_number:424.7469438
Q9ZQX6	copy_number:424.8310172
Q9SR66	copy_number:425.0797888
F4ITQ2	copy_number:425.2952802
Q9LPS8	copy_number:425.3083431
O04660	copy_number:425.4111884
Q9FK85	copy_number:425.6085883
Q9FJD6	copy_number:426.5843522
Q9LPJ7	copy_number:426.7535664
F4IN32	copy_number:426.8078791
Q0WQA4	copy_number:427.0163476
Q9SJ39	copy_number:427.1408463
F4JYV3	copy_number:427.2990177
Q9LHM1	copy_number:427.3543202
Q9LPG3	copy_number:427.4875305
Q3E9D9	copy_number:427.5215912
Q8S8F2	copy_number:427.9102669
F4J390	copy_number:428.3257196
Q3E9F6	copy_number:428.4958907
A0A1P8AUH1	copy_number:428.6375179
F4ICF2	copy_number:429.1753547
Q9FZ99	copy_number:430.1925648
Q9STE6	copy_number:430.2801019
Q3ECH2	copy_number:431.8101864
Q9CA63	copy_number:432.3089932
