### DATA:

         Q               I              Error
                        [
                            "UL11-StII-Hep_A1_0_001_0229.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0230.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0231.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0232.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0233.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0234.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0235.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0236.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0237.tiff"
                        ]
                    ]
                }
            ], 
            "subtracted_file": [
                "A_UL11-StII-Hep_A1_0_001_0038", 
                {
                    "averaged_files": [
                        [
                            "UL11-StII-Hep_A1_0_001_0038.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0039.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0040.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0041.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0042.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0043.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0044.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0045.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0046.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0047.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0048.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0049.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0050.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0051.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0052.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0053.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0054.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0055.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0056.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0057.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0058.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0059.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0060.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0061.tiff"
                        ], 
                        [
                            "UL11-StII-Hep_A1_0_001_0062.tiff"
                        ]
                    ]
                }
            ]
        }
    }, 
    "imageHeader": {
        "colormap": null, 
        "compression": false, 
        "compression_type": 1, 
        "date": "2017:06:04 06:14:02\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000", 
        "imageDescription": "# Pixel_size 172e-6 m x 172e-6 m\r\n# Silicon sensor, thickness 0.000320 m\r\n# Exposure_time 2.0000000 s\r\n# Exposure_period 2.0200000 s\r\n# Tau = 199.1e-09 s\r\n# Count_cutoff 1179179 counts\r\n# Threshold_setting: 5000 eV\r\n# Gain_setting: mid gain (vrf = -0.200)\r\n# N_excluded_pixels = 1\r\n# Excluded_pixels: badpix_mask.tif\r\n# Flat_field: (nil)\r\n# Trim_file: p100k0299_E10000_T5000_vrf_m0p20.bin\r\n# Image_path: .../BioSAXS/2017-3/heldwein-620-1/Claire/UL11-StII-Hep/\r\n# Energy_range (0, 0) eV\r\n# Detector_distance 1.00000 m\r\n# Detector_Voffset 0.00000 m\r\n# Beam_xy (0.00, 0.00) pixels\r\n# Flux 0.0000\r\n# Filter_transmission 1.0000\r\n# Start_angle 22.5000 deg.\r\n# Angle_increment 0.1000 deg.\r\n# Detector_2theta 0.0000 deg.\r\n# Polarization 0.990\r\n# Alpha 0.0000 deg.\r\n# Kappa 0.0000 deg.\r\n# Phi 0.0000 deg.\r\n# Chi 0.0000 deg.\r\n# Oscillation_axis X, CW\r\n# N_oscillations 1\r\n\u0000\u0000", 
        "info": {}, 
        "nBits": 32, 
        "nColumns": 487, 
        "nRows": 195, 
        "photometricInterpretation": 1, 
        "rowsPerStrip": 195, 
        "sampleFormat": 2, 
        "software": "TVX TIFF v 1.3     \u0000", 
        "stripByteCounts": [
            379860
        ], 
        "stripOffsets": [
            4096
        ]
    }, 
    "load_path": "E:\\20170604 CHESS SAXS\\heldwein-620-1\\Claire\\UL11-StII-Hep\\UL11-StII-Hep_A1_0_001_0225.tiff", 
    "normalizations": {
        "Absolute_scale_factor": 0.00145337717654, 
        "Counter_norms": [
            [
                "/", 
                "I3/100000"
            ]
        ], 
        "Solid_Angle_Correction": "On"
    }
}

