Q9VEY5	copy_number:7549.333333
Q9VAY6	copy_number:13555.66667
A0A0B4KI24	copy_number:21446
Q9W396	copy_number:23074.66667
Q9W1Y1	copy_number:12520
Q9VXR5	copy_number:11518.66667
Q9VHC0	copy_number:19172.33333
P46863	copy_number:664.3333333
P25991	copy_number:13456.66667
Q9VFB5	copy_number:15116.66667
Q9VKW8	copy_number:11065.33333
Q9V455	copy_number:16078.66667
Q9VNF6	copy_number:17240
A0A0B4LFL2	copy_number:12693
Q9VVI1	copy_number:14492.66667
Q9VHM3	copy_number:13084
M9NFP7	copy_number:38625
X2JFW6	copy_number:34252
Q9V9V0	copy_number:12264.33333
P52654	copy_number:10680.33333
A4V3J9	copy_number:10638
Q7JNE1	copy_number:19210.33333
Q9VM49	copy_number:15458.33333
Q9VEA1	copy_number:15079.33333
Q8MRC7	copy_number:8326
Q4V5H1	copy_number:12271.33333
Q7K3M5	copy_number:15315
Q9VZC8	copy_number:23059.66667
Q9VFX3	copy_number:38182
Q9W2P5	copy_number:10530.33333
Q9XZ19	copy_number:11782.66667
Q9VGQ1	copy_number:10740.33333
Q9VYQ9	copy_number:12166.33333
A0A0B4KFB8	copy_number:15103.66667
Q9VFE7	copy_number:10026
Q9VRN3	copy_number:2700.666667
Q9VZE6	copy_number:23084
Q7K7G0	copy_number:16160
Q9VV52	copy_number:9057.666667
X2JFR6	copy_number:16408.66667
Q9VIV2	copy_number:10268
Q9VMC8	copy_number:13621.33333
Q9VJ25	copy_number:8983
M9PBM1	copy_number:18802.33333
Q9VN21	copy_number:10857
Q9VS62	copy_number:16295.66667
A0A0B4LI86	copy_number:12356
P04052	copy_number:12280.66667
Q27272	copy_number:11157.33333
Q9W384	copy_number:13188.33333
Q9W0B8	copy_number:15757.33333
Q9W1F4	copy_number:10190.66667
Q9VTW6	copy_number:14879
Q9W1X4	copy_number:11263.33333
Q9VZF9	copy_number:35870
E1JH57	copy_number:862.6666667
P49847	copy_number:13002.66667
Q9VZ62	copy_number:290.6666667
Q7K2B0	copy_number:21162.66667
A0A0B4LEV3	copy_number:9213.333333
A1Z843	copy_number:13610.66667
Q7K0X3	copy_number:9871.333333
O61345	copy_number:22956
Q27294	copy_number:9541.666667
Q9VEA5	copy_number:14236.66667
Q2PDY2	copy_number:22034.33333
Q9VEM2	copy_number:203.5
Q9VWD9	copy_number:21405.66667
Q86BI3	copy_number:13949.33333
P41375	copy_number:13591.33333
M9MQH9	copy_number:8774
Q9VM17	copy_number:8883.666667
Q7K1Q7	copy_number:21078.33333
Q8IP68	copy_number:34278.66667
C0MIY4	copy_number:4100.666667
O97064	copy_number:34044.66667
O97183	copy_number:13714
Q9VJ74	copy_number:11208.33333
Q7K485	copy_number:10141
Q9W3C1	copy_number:14926.66667
Q9W1H5	copy_number:7740.666667
Q7PLS8	copy_number:9206.333333
Q9VHI1	copy_number:9552
A1Z8S6	copy_number:6347.666667
X2J7U0	copy_number:3807
Q9VKN7	copy_number:1446
A0A0B4LEY9	copy_number:22222.33333
Q9VLD6	copy_number:564
Q9VRV7	copy_number:12249.66667
O62621	copy_number:14355.66667
Q9VJI7	copy_number:15517
Q9VTL1	copy_number:9108.666667
Q9VVI0	copy_number:10648.33333
X2JE07	copy_number:8531.666667
P13709	copy_number:12611.33333
Q9VC36	copy_number:10604
Q9VXK5	copy_number:23166.66667
Q94522	copy_number:22149.66667
Q9VJE4	copy_number:11167.66667
Q7JWD6	copy_number:10140
Q9W1I6	copy_number:11994.66667
B7Z126	copy_number:6560.666667
Q9VWF8	copy_number:23846
Q9VYR0	copy_number:4040.333333
Q9VDL0	copy_number:12204.33333
Q9VHG6	copy_number:17127.33333
Q9XYZ5	copy_number:9649
Q8MT06	copy_number:21753.33333
Q9VT61	copy_number:14417.33333
Q9VZP5	copy_number:10467
Q9VUM1	copy_number:11528.66667
Q9VZ00	copy_number:14015.33333
Q9VJG2	copy_number:17093
Q8IRJ8	copy_number:8805.666667
P18929	copy_number:15252
Q9VRJ4	copy_number:7442.666667
Q7K3D8	copy_number:7621.666667
Q9W402	copy_number:15443.33333
Q6NR30	copy_number:2467
Q9Y091	copy_number:13327.33333
P20193	copy_number:4397.666667
X2JGB3	copy_number:9487.333333
Q9VE18	copy_number:11367.66667
Q9VGG9	copy_number:8984
Q9VGL0	copy_number:5453.666667
Q9VRN0	copy_number:29649
A1A708	copy_number:7226
P48591	copy_number:11160
Q7JRJ9	copy_number:832
Q9VDS6	copy_number:14248.33333
Q9VJZ7	copy_number:14856.33333
O77430	copy_number:9193.333333
Q9W3B2	copy_number:14723
Q8IQQ0	copy_number:10913.33333
A1ZAK4	copy_number:14284.66667
Q9V784	copy_number:5476
Q9VD52	copy_number:9033.666667
Q9VPF9	copy_number:6937.666667
A0A0B4JD39	copy_number:28004
A0A0B4LEV8	copy_number:5522.666667
Q7JZ53	copy_number:17214
Q95RQ8	copy_number:7731.333333
Q9VZM5	copy_number:16769.33333
Q9V406	copy_number:10831.66667
A0A0B4K859	copy_number:6372.666667
Q9VUZ6	copy_number:10716.33333
Q9VMX3	copy_number:11055.66667
X2JC31	copy_number:8307.333333
Q8MSW9	copy_number:12897.33333
Q7K5M2	copy_number:11997.66667
P35875	copy_number:3289.333333
O76994	copy_number:20749.66667
G4LTX2	copy_number:10344.33333
Q9W2X1	copy_number:27911.33333
N0D8I3	copy_number:7856
Q9XY35	copy_number:13574.33333
Q8SXG9	copy_number:27722.66667
Q8IGK3	copy_number:7801.333333
Q9V3B6	copy_number:7322
Q9VSR5	copy_number:8114.333333
Q9VQR2	copy_number:13238.66667
Q9VSS2	copy_number:9100.333333
A0A0B4K652	copy_number:13350.33333
Q6NP69	copy_number:10950.33333
A0A0B4LF82	copy_number:12987.66667
A1Z898	copy_number:1694.333333
M9PGL7	copy_number:12731
Q9VVH3	copy_number:7726
Q9VIF6	copy_number:14080.66667
X2JG50	copy_number:4844
X2JC94	copy_number:6695
M9PB96	copy_number:18931
Q9VFV8	copy_number:9997.666667
Q24573	copy_number:605
Q9VKM7	copy_number:10221.66667
Q9U9Q2	copy_number:7972
Q9VIZ0	copy_number:14625.66667
Q9VWP1	copy_number:9126
Q9Y0Y5	copy_number:10356.33333
X2JGV8	copy_number:4305.666667
Q9VDE5	copy_number:12888.33333
Q9V3L6	copy_number:13459.66667
Q9VPC0	copy_number:6222.666667
A0A0B4LHY1	copy_number:6504.333333
A0A0B4LF64	copy_number:26674.66667
P45437	copy_number:11798
H1UUD2	copy_number:13151
A4V0X0	copy_number:85.33333333
M9PE12	copy_number:9298.666667
Q9VS38	copy_number:6203
A0A0B4JCV4	copy_number:1415.333333
Q9VE86	copy_number:1328
Q9VNG0	copy_number:8116.666667
F6J1D0	copy_number:10357.33333
Q9VRE0	copy_number:8044.666667
P05552	copy_number:19627.66667
Q9VYY7	copy_number:6340.666667
Q8T052	copy_number:5096.666667
Q9XYZ4	copy_number:4672.666667
Q9VKZ7	copy_number:11987.66667
Q9V460	copy_number:10120.33333
Q8SYK5	copy_number:92.5
Q9VBY2	copy_number:15491.33333
Q9V3D9	copy_number:8295
Q9VPN5	copy_number:8487.666667
Q9VBZ8	copy_number:7861.666667
Q7JQN4	copy_number:16685
A1ZAK7	copy_number:12229.33333
Q9W3M7	copy_number:10029
Q9VP77	copy_number:5682.666667
Q9VGZ2	copy_number:10373.33333
Q95RF6	copy_number:9604
Q9VQM2	copy_number:12153.33333
Q95RI7	copy_number:8410
Q9VCE3	copy_number:10519.66667
Q9W4J4	copy_number:8572
Q8MSU4	copy_number:7402.666667
O61602	copy_number:7621.333333
O97066	copy_number:18122.33333
Q9VCG4	copy_number:5853
Q5BI50	copy_number:6125.666667
M9PGQ6	copy_number:9346.333333
Q9W403	copy_number:9446
P91641	copy_number:9868
E1JJQ3	copy_number:2183.333333
A0A0B4LG23	copy_number:24421.33333
Q9W252	copy_number:3522
Q9VXN2	copy_number:16401
Q9XZT7	copy_number:9613
Q9VHJ7	copy_number:6570.333333
Q9VVI2	copy_number:4539.666667
Q9VPM7	copy_number:12570.66667
Q9VM75	copy_number:11010.33333
A1Z6M0	copy_number:8155.333333
Q960V1	copy_number:10571.33333
M9PFU7	copy_number:9145.666667
Q9VSN9	copy_number:8495.333333
Q9VAC4	copy_number:15417.33333
Q9VG58	copy_number:10609.33333
Q8IH14	copy_number:12158
Q9VMI5	copy_number:10638.66667
A0A0B4KFN0	copy_number:9344.666667
Q9VKD8	copy_number:7172.666667
